tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_gru_050,model_gru_015,model_gru_040,model_gru_009,model_gru_041,model_gru_049,model_gru_022,model_gru_032,model_gru_036,model_gru_007,model_gru_033,model_gru_042,model_gru_023,model_gru_021,model_gru_013,model_gru_011,model_gru_018,model_gru_045,model_gru_031,model_gru_035,model_gru_046,model_gru_037,model_gru_034,model_gru_038,model_gru_017,model_gru_043,model_gru_027,model_gru_005,model_gru_014,model_gru_047,model_gru_025,model_gru_028,model_gru_004,model_gru_016,model_gru_019,model_gru_008,model_gru_002,model_gru_006,model_gru_010,model_gru_003,model_gru_024,model_gru_039,model_gru_029,model_gru_048,model_gru_001,model_gru_026,model_gru_030,model_gru_044,model_gru_012,model_gru_020
2025-06-17,1.0,-1.0105003924392646,0.9510715690611612,0.32048660451346,0.49699903,0.521957,0.50940233,0.509218,0.518426,0.52798873,0.50948423,0.50343215,0.5244408,0.512496,0.49842277,0.5093843,0.49872842,0.51103723,0.48887175,0.504482,0.49328166,0.50456893,0.546257,0.5153547,0.52075243,0.5002789,0.49871597,0.5508341,0.4625217,0.50937515,0.52947426,0.4862346,0.5263915,0.49350604,0.489369,0.46261597,0.5104011,0.47850135,0.46104163,0.5064823,0.5386116,0.43102098,0.5205842,0.49573585,0.4449934,0.47957134,0.5474757,0.49586314,0.5108063,0.47464263,0.52202415,0.50544924,0.45086434,0.44956276
2025-06-18,0.0,-0.9170911057722232,0.3230550950515953,-0.21779540173212003,0.4983371,0.52676684,0.5258447,0.47237772,0.53912324,0.5321472,0.47855145,0.5085032,0.49940953,0.52436477,0.51310647,0.47770625,0.49835676,0.49482,0.53517467,0.45850828,0.43137714,0.5080072,0.5152563,0.4935503,0.53799057,0.5020314,0.47911423,0.45905828,0.5133351,0.50720036,0.48201847,0.50473624,0.49928293,0.4462375,0.5128421,0.4830678,0.48048142,0.48066208,0.48255995,0.4974059,0.539828,0.4760706,0.5207649,0.45078862,0.45859337,0.47131723,0.507238,0.45335132,0.48495466,0.49168366,0.49793598,0.5227642,0.46436033,0.4381917
2025-06-19,0.0,-2.235406972213293,1.7672885109242638,-1.30856106109857,0.49920917,0.5392618,0.53690416,0.5374567,0.5621423,0.5557453,0.48828834,0.5363196,0.5474157,0.542226,0.54265296,0.49813682,0.536908,0.5086703,0.5496865,0.51415163,0.4903613,0.5617454,0.53477085,0.522321,0.5529328,0.5180722,0.5647052,0.5075841,0.5572047,0.5218642,0.5312186,0.543457,0.50855225,0.4874429,0.53933805,0.52734166,0.5515746,0.49557054,0.48532423,0.5295857,0.55812347,0.51652294,0.53820467,0.52184707,0.5160319,0.49751568,0.5277346,0.5139586,0.50926226,0.52683246,0.53015447,0.5474918,0.5015243,0.4790226
2025-06-20,0.0,-2.4103641013186543,0.6606044084598361,-1.14692277493546,0.5097791,0.54836017,0.5575953,0.55287343,0.5877817,0.5686769,0.5058771,0.55573165,0.5834766,0.56180346,0.5691737,0.52525675,0.5666234,0.53062534,0.5457803,0.5456636,0.5287855,0.6053706,0.5633308,0.5482636,0.57229465,0.5394074,0.6041697,0.5304314,0.590347,0.5387194,0.55724263,0.5730881,0.5245847,0.50533843,0.5608151,0.5783112,0.59010917,0.52181214,0.48207343,0.5573486,0.5620233,0.5464341,0.5535667,0.5573474,0.5458194,0.5279796,0.5549798,0.5662446,0.5345888,0.5492071,0.5591906,0.56919837,0.5293092,0.51356375
2025-06-21,0.0,-3.9142474936869007,1.2452596721930649,-1.13859602263607,0.564113,0.595055,0.63710105,0.6036475,0.6258911,0.6302431,0.5883376,0.61134857,0.6419487,0.6001912,0.61969763,0.57052726,0.6114755,0.59987104,0.5995206,0.5982852,0.57974845,0.6435304,0.6124699,0.59768695,0.63816553,0.59852934,0.64877874,0.57385236,0.59440595,0.59187776,0.6045295,0.59538215,0.5629302,0.5729378,0.60045594,0.6199034,0.62319577,0.575907,0.5418183,0.6106841,0.5952845,0.62250376,0.57561606,0.59479105,0.61588156,0.57629144,0.61633444,0.6121684,0.5722727,0.5890658,0.5832801,0.5882515,0.56471485,0.5868795
2025-06-22,1.0,-1.3466739094160756,4.937611915541193,4.23728593887924,0.4559385,0.47170672,0.50337344,0.4485007,0.5029406,0.46212992,0.48297605,0.45301747,0.47998047,0.46728417,0.48881197,0.44927987,0.47761324,0.50960547,0.44297692,0.43499312,0.5019855,0.44982508,0.4304811,0.4936421,0.48644778,0.45891318,0.47409138,0.44972607,0.4686416,0.4587674,0.46381325,0.468889,0.47423777,0.4643421,0.46277124,0.49164033,0.50512385,0.45951837,0.43061307,0.47884884,0.4943163,0.49008965,0.5107722,0.45678395,0.41455606,0.44549638,0.4961491,0.47796342,0.46138984,0.487876,0.5091552,0.53532374,0.4434006,0.46375164
2025-06-23,1.0,-0.6781543731945114,0.9035618085769545,0.70862171209309,0.4763363,0.46995473,0.5012105,0.44887727,0.4679114,0.4473305,0.52718383,0.4526512,0.46270916,0.44272995,0.47692245,0.47354418,0.4638784,0.50218475,0.4386403,0.4250969,0.50157034,0.397955,0.42727822,0.4980851,0.47948614,0.452762,0.45787635,0.48069718,0.3781865,0.4636143,0.47530842,0.41985276,0.48456377,0.4961055,0.44352108,0.42328683,0.46726066,0.46103218,0.4340615,0.456206,0.49725014,0.43302125,0.5287114,0.44430178,0.36562955,0.42551008,0.5182044,0.46380085,0.46152183,0.45444,0.53058696,0.50618976,0.4265645,0.45720464
2025-06-24,1.0,-0.2595392115949321,1.9161414250041848,1.1784963544526401,0.46302688,0.48736018,0.4835634,0.45327812,0.49237946,0.4926922,0.48281205,0.47521633,0.4786188,0.47111365,0.46796647,0.4693406,0.44781685,0.46331403,0.46235895,0.47223952,0.4456797,0.47533804,0.4781972,0.46870047,0.4772742,0.46165675,0.4535537,0.48855475,0.43670166,0.48969898,0.4745801,0.45933148,0.48829323,0.4208444,0.47156656,0.427935,0.47960973,0.47004566,0.43469346,0.46928224,0.5140862,0.40185502,0.53138614,0.43138635,0.39568412,0.44735214,0.48403051,0.44955122,0.48029205,0.45734984,0.5158175,0.49500126,0.43382227,0.421435
2025-06-25,0.0,-0.7275102647342373,0.8643965555256529,-0.36728244556723,0.44645452,0.47191212,0.46363443,0.43200698,0.5117395,0.5028533,0.43100098,0.4809814,0.48836958,0.49880996,0.46859324,0.4481052,0.4698067,0.4386362,0.45019647,0.44736704,0.4190597,0.501736,0.46901503,0.45478326,0.46507403,0.44115925,0.4521481,0.43711567,0.48724112,0.47016034,0.4699949,0.48394266,0.46567377,0.41343886,0.47832,0.46317282,0.4790187,0.4652114,0.4139474,0.4730774,0.51671463,0.4248921,0.5000569,0.4269756,0.4225095,0.44452614,0.47177798,0.44930115,0.4681752,0.47350624,0.49925795,0.5062564,0.4308888,0.421389
2025-06-26,1.0,-0.553484233859804,0.734371837348212,0.09395562683026999,0.52016115,0.5395049,0.5547219,0.5503707,0.5769281,0.5784577,0.5109163,0.55146766,0.56871057,0.55807376,0.5392824,0.51921993,0.5688997,0.5205239,0.5173227,0.55946004,0.511877,0.5810271,0.5701164,0.53381234,0.5581071,0.5211503,0.5852728,0.53765416,0.5437105,0.5346586,0.5644421,0.5436283,0.52079606,0.5163464,0.5550941,0.54075783,0.5740667,0.52437633,0.4789849,0.56830436,0.57463294,0.5233362,0.52933776,0.5353098,0.54228574,0.51381123,0.55861557,0.5428491,0.52317446,0.5379422,0.5486189,0.5585803,0.493691,0.5075519
