nama_juri,accuracy,f1_macro,prec_long,rec_long,f1_long,prec_short,rec_short,f1_short,roi_audisi
model_gru_001,51.32743362831859,50.943247296550645,52.74725274725275,41.73913043478261,46.601941747572816,50.37037037037037,61.261261261261254,55.28455284552846,7.945370556437456
model_gru_002,49.557522123893804,49.45856873822975,50.495049504950494,44.34782608695652,47.22222222222222,48.8,54.95495495495496,51.69491525423729,-3.1464159942278114
model_gru_003,50.442477876106196,49.96837444655281,51.68539325842697,40.0,45.09803921568628,49.63503649635037,61.261261261261254,54.83870967741935,6.541510024462559
model_gru_004,48.67256637168141,48.608170626519254,49.57983193277311,51.30434782608696,50.427350427350426,47.66355140186916,45.94594594594595,46.788990825688074,3.610854371614505
model_gru_005,48.23008849557522,48.001022595425844,49.2063492063492,53.91304347826087,51.45228215767634,47.0,42.34234234234234,44.54976303317535,-6.1959281879540296
model_gru_006,50.0,49.88126778530076,51.0,44.34782608695652,47.44186046511628,49.2063492063492,55.85585585585585,52.320675105485236,-3.980645249407576
model_gru_007,50.0,48.12196558799033,51.470588235294116,30.434782608695656,38.25136612021858,49.36708860759494,70.27027027027027,57.99256505576208,-0.47780438539948594
model_gru_008,53.98230088495575,53.36507936507937,56.470588235294116,41.73913043478261,48.0,52.4822695035461,66.66666666666666,58.730158730158735,4.365388092413445
model_gru_009,50.442477876106196,50.192837465564736,51.578947368421055,42.608695652173914,46.666666666666664,49.61832061068702,58.55855855855856,53.71900826446281,-2.2268476171998826
model_gru_010,48.67256637168141,47.179239200515795,49.31506849315068,31.30434782608696,38.297872340425535,48.36601307189542,66.66666666666666,56.060606060606055,-15.194373373753342
model_gru_011,52.21238938053098,52.02830188679246,53.608247422680414,45.21739130434783,49.056603773584904,51.162790697674424,59.45945945945946,55.00000000000001,6.9682779749204435
model_gru_012,52.21238938053098,51.907313997477935,53.76344086021505,43.47826086956522,48.07692307692308,51.127819548872175,61.261261261261254,55.73770491803278,23.674812570150696
model_gru_013,49.557522123893804,49.52194357366771,50.476190476190474,46.08695652173913,48.18181818181818,48.760330578512395,53.153153153153156,50.86206896551724,-0.6663232782753766
model_gru_014,46.46017699115044,46.43395819866408,47.16981132075472,43.47826086956522,45.248868778280546,45.83333333333333,49.549549549549546,47.61904761904761,-19.366574462423294
model_gru_015,56.19469026548673,54.21450058321567,62.5,34.78260869565217,44.6927374301676,53.70370370370371,78.37837837837837,63.73626373626373,21.288145877133687
model_gru_016,51.32743362831859,50.06026516673363,53.333333333333336,34.78260869565217,42.10526315789473,50.331125827814574,68.46846846846847,58.01526717557252,12.775342921736002
model_gru_017,48.67256637168141,48.267424421817026,49.45054945054945,39.130434782608695,43.689320388349515,48.148148148148145,58.55855855855856,52.84552845528455,-10.626700937959516
model_gru_018,48.67256637168141,47.179239200515795,49.664429530201346,64.34782608695652,56.060606060606055,46.75324675324675,32.432432432432435,38.297872340425535,1.797094709547798
model_gru_019,50.442477876106196,50.126103404791934,51.61290322580645,41.73913043478261,46.15384615384615,49.62406015037594,59.45945945945946,54.09836065573771,-11.295937221642737
model_gru_020,46.46017699115044,43.81920903954802,48.125,66.95652173913044,56.00000000000001,42.42424242424242,25.225225225225223,31.63841807909605,-9.230577136926014
model_gru_021,47.78761061946903,47.52459661550571,48.421052631578945,40.0,43.80952380952381,47.32824427480916,55.85585585585585,51.2396694214876,-16.777404092508856
model_gru_022,50.442477876106196,50.126103404791934,51.162790697674424,57.391304347826086,54.09836065573771,49.48453608247423,43.24324324324324,46.15384615384615,7.844106382048153
model_gru_023,48.23008849557522,48.22907488986784,49.107142857142854,47.82608695652174,48.458149779735685,47.368421052631575,48.64864864864865,48.0,3.968555084755917
model_gru_024,50.0,49.04120522797566,51.24999999999999,35.65217391304348,42.05128205128205,49.31506849315068,64.86486486486487,56.03112840466926,0.8655234959993664
model_gru_025,47.78761061946903,47.771249510379945,48.598130841121495,45.21739130434783,46.846846846846844,47.05882352941176,50.45045045045045,48.69565217391305,-11.413143073996332
model_gru_026,53.09734513274337,53.06426332288401,54.285714285714285,49.56521739130435,51.81818181818182,52.066115702479344,56.75675675675676,54.310344827586206,24.39044175712063
model_gru_027,46.017699115044245,45.865075001963405,47.15447154471545,50.43478260869565,48.739495798319325,44.66019417475729,41.44144144144144,42.99065420560748,-22.41465912442219
model_gru_028,46.902654867256636,41.95205479452055,44.44444444444444,17.391304347826086,25.0,47.51381215469613,77.47747747747748,58.9041095890411,0.44101866851343635
model_gru_029,50.0,48.910716786364446,51.28205128205128,34.78260869565217,41.45077720207254,49.32432432432432,65.76576576576578,56.37065637065637,-11.56764746605064
model_gru_030,49.557522123893804,49.074952561669825,50.56179775280899,39.130434782608695,44.11764705882353,48.9051094890511,60.36036036036037,54.03225806451613,-9.983142025027279
model_gru_031,50.88495575221239,50.768324992640565,52.0,45.21739130434783,48.372093023255815,50.0,56.75675675675676,53.16455696202531,-4.365430044913899
model_gru_032,47.78761061946903,47.28810879190386,48.87218045112782,56.52173913043478,52.41935483870967,46.236559139784944,38.73873873873874,42.15686274509804,-0.5493689079586717
model_gru_033,50.88495575221239,50.605469903715516,51.5625,57.391304347826086,54.32098765432099,50.0,44.14414414414414,46.889952153110045,8.240281788702736
model_gru_034,49.557522123893804,47.75308241401687,50.72463768115942,30.434782608695656,38.04347826086957,49.044585987261144,69.36936936936937,57.46268656716418,-7.094284485740525
model_gru_035,50.88495575221239,50.45719364076232,52.22222222222223,40.869565217391305,45.85365853658537,50.0,61.261261261261254,55.06072874493927,-1.2344005546172865
model_gru_036,49.11504424778761,46.6050333846944,50.0,26.956521739130434,35.02824858757062,48.78048780487805,72.07207207207207,58.18181818181818,-5.827552949956123
model_gru_037,48.23008849557522,48.180375095537656,49.152542372881356,50.43478260869565,49.78540772532189,47.22222222222222,45.94594594594595,46.57534246575342,-6.2160460093951775
model_gru_038,52.21238938053098,52.15243472124206,53.398058252427184,47.82608695652174,50.45871559633027,51.21951219512195,56.75675675675676,53.84615384615385,8.223433784108328
model_gru_039,50.88495575221239,50.721904649655244,52.04081632653062,44.34782608695652,47.88732394366197,50.0,57.65765765765766,53.55648535564853,10.601906878710066
model_gru_040,51.76991150442478,50.58474253274758,53.94736842105263,35.65217391304348,42.93193717277487,50.66666666666667,68.46846846846847,58.23754789272031,15.455922062892341
