tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_gru_014,model_gru_010,model_gru_049,model_gru_028,model_gru_040,model_gru_024,model_gru_026,model_gru_036,model_gru_031,model_gru_019,model_gru_018,model_gru_008,model_gru_006,model_gru_021,model_gru_009,model_gru_042,model_gru_023,model_gru_012,model_gru_022,model_gru_030,model_gru_001,model_gru_045,model_gru_043,model_gru_016,model_gru_050,model_gru_029,model_gru_011,model_gru_044,model_gru_015,model_gru_032,model_gru_027,model_gru_007,model_gru_025,model_gru_002,model_gru_037,model_gru_003,model_gru_038,model_gru_017,model_gru_005,model_gru_020,model_gru_004,model_gru_035,model_gru_048,model_gru_013,model_gru_039,model_gru_033,model_gru_034,model_gru_047,model_gru_046,model_gru_041
2025-06-17,1.0,-1.0105003924392646,0.9510715690611612,0.32048660451346,0.47776943,0.5073738,0.49767235,0.49694398,0.505739,0.5191672,0.5003415,0.501796,0.5034021,0.4779605,0.4969053,0.52482796,0.50728697,0.5015289,0.50015134,0.5002601,0.4825234,0.5428107,0.5330328,0.52640986,0.5256446,0.5129658,0.49708855,0.5198332,0.4893637,0.52227646,0.53416425,0.5194686,0.51944613,0.5152433,0.508247,0.5043637,0.5225904,0.49630654,0.5161456,0.50483614,0.51330274,0.50858235,0.5092342,0.481958,0.5017867,0.5098344,0.4638233,0.529087,0.50246763,0.49734426,0.52369237,0.48815218,0.53555053,0.4796729
2025-06-18,0.0,-0.9170911057722232,0.3230550950515953,-0.21779540173212003,0.48190296,0.48753715,0.49131867,0.4896816,0.45903814,0.4882846,0.50556785,0.48726252,0.4669777,0.43811357,0.45005754,0.49247262,0.4711997,0.5027927,0.5094869,0.500885,0.49377993,0.51093537,0.50711274,0.49635112,0.49052778,0.45168865,0.4556624,0.4950183,0.45950085,0.4743206,0.49985352,0.46405002,0.48146766,0.5155542,0.5095505,0.45301244,0.47173336,0.47333166,0.48021722,0.4999801,0.4910327,0.46559975,0.47662458,0.48475412,0.46055785,0.46394172,0.430591,0.5118664,0.47687343,0.4871404,0.5178887,0.49587956,0.51440966,0.47820112
2025-06-19,0.0,-2.235406972213293,1.7672885109242638,-1.30856106109857,0.50066066,0.4936889,0.4992589,0.5049284,0.47071525,0.5049493,0.5091716,0.5061487,0.47958472,0.46401516,0.47587356,0.5026782,0.48858252,0.5081666,0.52461535,0.5021902,0.5165411,0.5240559,0.5204898,0.5096638,0.50545913,0.47684827,0.47387916,0.50397146,0.47814786,0.50189537,0.52326024,0.48133272,0.4918033,0.5286238,0.51160413,0.4739967,0.4918395,0.48336232,0.49777985,0.5090565,0.4971682,0.48632887,0.48788178,0.49556798,0.47810248,0.48337275,0.4598592,0.5257875,0.48129866,0.49678698,0.51885366,0.5071705,0.5194282,0.4895203
2025-06-20,0.0,-2.4103641013186543,0.6606044084598361,-1.14692277493546,0.5207465,0.5121664,0.504947,0.53139746,0.510894,0.5321459,0.5123186,0.5054496,0.5048252,0.4989496,0.51509994,0.53081214,0.52811635,0.5346546,0.53746784,0.51443183,0.5511181,0.54795295,0.5534767,0.5308294,0.53454584,0.5181469,0.508143,0.5234976,0.50512993,0.54100585,0.54978055,0.5137586,0.5169332,0.53417563,0.5147043,0.5059868,0.5210634,0.5069954,0.52305293,0.51426643,0.527906,0.5140831,0.5239479,0.49426132,0.49860534,0.4979763,0.49194854,0.54491216,0.5187035,0.5147274,0.5402811,0.5259631,0.53554994,0.51255083
2025-06-21,0.0,-3.9142474936869007,1.2452596721930649,-1.13859602263607,0.5621465,0.55737644,0.5354144,0.5159756,0.5622932,0.596614,0.5148775,0.5659063,0.5598675,0.5645578,0.5928566,0.5907546,0.5693891,0.55642927,0.5676954,0.53479517,0.53150773,0.6174226,0.6165563,0.5898815,0.5914438,0.59036165,0.57385796,0.5835973,0.56907976,0.6194874,0.622052,0.5786124,0.5884219,0.54684055,0.53708655,0.5744877,0.59435934,0.566922,0.59061646,0.54806685,0.59187084,0.57666427,0.5650841,0.5025835,0.5695122,0.58527964,0.57938635,0.60393435,0.5676361,0.51722145,0.540379,0.51123035,0.57649606,0.5259946
2025-06-22,1.0,-1.3466739094160756,4.937611915541193,4.23728593887924,0.4928991,0.5091207,0.50224227,0.49477363,0.48369008,0.506042,0.49937493,0.5137711,0.47749168,0.48179975,0.50498587,0.4928964,0.4984476,0.49087024,0.51271284,0.5059175,0.49592,0.5181361,0.50840557,0.5236872,0.4798539,0.47663152,0.47674865,0.51687133,0.5000297,0.4932463,0.507602,0.4717186,0.4979938,0.5055299,0.5069815,0.47947288,0.51888734,0.50602734,0.48404795,0.49540403,0.51754063,0.46999773,0.48360944,0.4885453,0.46730962,0.49402356,0.47955006,0.5142168,0.49778965,0.49838755,0.49842438,0.507281,0.5281618,0.48886606
2025-06-23,1.0,-0.6781543731945114,0.9035618085769545,0.70862171209309,0.46690896,0.50725836,0.49878725,0.46270534,0.478461,0.5020626,0.4884178,0.51254064,0.48088303,0.50465643,0.5044319,0.5032771,0.4981399,0.45704114,0.47839278,0.48976526,0.464377,0.49608707,0.5080233,0.5198933,0.4659271,0.5065254,0.48507154,0.51986194,0.50650704,0.50509053,0.5324901,0.49002948,0.5202059,0.4915712,0.50718,0.48940697,0.5149921,0.48171404,0.4941929,0.5028982,0.5188448,0.48659,0.48664176,0.49582574,0.49773616,0.5262413,0.5017783,0.52069443,0.48446208,0.48218262,0.47450098,0.47802946,0.5247227,0.45309764
2025-06-24,1.0,-0.2595392115949321,1.9161414250041848,1.1784963544526401,0.48504764,0.47386825,0.47638142,0.489692,0.47000968,0.47359937,0.4982413,0.46165586,0.4499786,0.45344034,0.4423839,0.4798215,0.48213637,0.4863498,0.48912922,0.4796695,0.47121665,0.47355622,0.49691448,0.49377772,0.4712879,0.46340427,0.45973864,0.48765397,0.45181468,0.47067642,0.4886432,0.46140853,0.47035784,0.5022078,0.4998884,0.43301255,0.44619483,0.46558562,0.46886635,0.46746224,0.48430896,0.4576833,0.46389747,0.47616434,0.4561127,0.46148354,0.43411297,0.4841449,0.46294865,0.49193883,0.50364643,0.47366092,0.5040975,0.43195912
2025-06-25,0.0,-0.7275102647342373,0.8643965555256529,-0.36728244556723,0.4601703,0.47140363,0.4805456,0.491443,0.46238837,0.47291437,0.507457,0.4387011,0.4618551,0.44998288,0.458838,0.49849945,0.48981127,0.49838057,0.50361055,0.5099165,0.50789016,0.48435724,0.5045979,0.48868468,0.48293957,0.48381585,0.4675059,0.46986532,0.45419514,0.5049293,0.5067305,0.47366536,0.45750597,0.50429815,0.5100366,0.4358559,0.44966382,0.46187288,0.46931466,0.48620525,0.4735212,0.45564497,0.49298596,0.4708955,0.4534307,0.45433664,0.43403497,0.4895783,0.4858152,0.5056332,0.5092064,0.51854926,0.4900773,0.48397583
2025-06-26,1.0,-0.553484233859804,0.734371837348212,0.09395562683026999,0.50395054,0.50310886,0.5105981,0.50603455,0.49903485,0.52688617,0.5091987,0.5032033,0.5107462,0.4980456,0.5102961,0.5378153,0.5150447,0.5223957,0.5283279,0.5082219,0.5255685,0.5479142,0.5537996,0.5313206,0.5355086,0.5324845,0.507462,0.52107394,0.48807883,0.5691021,0.56597793,0.5222496,0.5195914,0.5196941,0.5166289,0.5145535,0.52227885,0.5015472,0.529298,0.5047886,0.5195811,0.5176653,0.52109736,0.5004662,0.4973545,0.52669936,0.5066472,0.5448305,0.514951,0.50051963,0.5256402,0.514131,0.5334544,0.4924479
