nama_juri,accuracy,f1_macro,prec_long,rec_long,f1_long,prec_short,rec_short,f1_short,roi_audisi
model_gru_001,44.690265486725664,42.6127937920247,45.3125,24.369747899159663,31.693989071038253,44.44444444444444,67.28971962616822,53.53159851301115,-9.250136671687766
model_gru_002,51.32743362831859,51.01670870113493,55.0561797752809,41.17647058823529,47.11538461538461,48.9051094890511,62.616822429906534,54.91803278688525,35.01676928653283
model_gru_003,48.67256637168141,48.63636363636363,51.48514851485149,43.69747899159664,47.27272727272727,46.400000000000006,54.20560747663551,50.0,7.556183945105477
model_gru_004,51.32743362831859,46.48239042452425,52.57142857142857,77.31092436974791,62.585034013605444,47.05882352941176,22.429906542056074,30.37974683544304,22.475359081788884
model_gru_005,52.21238938053098,46.473684210526315,53.03867403314917,80.67226890756302,64.0,48.888888888888886,20.5607476635514,28.947368421052634,36.777444301128796
model_gru_006,45.13274336283185,36.33802816901408,39.130434782608695,7.563025210084033,12.676056338028168,45.812807881773395,86.91588785046729,60.0,-7.995522756311016
model_gru_007,49.11504424778761,45.65831015953332,51.21951219512195,70.58823529411765,59.36395759717315,43.54838709677419,25.233644859813083,31.952662721893493,18.435797190422136
model_gru_008,48.67256637168141,47.48397435897436,51.06382978723404,60.50420168067227,55.38461538461539,44.70588235294118,35.51401869158878,39.58333333333333,7.788243025175894
model_gru_009,52.654867256637175,34.492753623188406,52.654867256637175,100.0,68.98550724637681,0.0,0.0,0.0,51.71307924636274
model_gru_010,49.557522123893804,49.45856873822975,52.13675213675214,51.26050420168067,51.69491525423729,46.788990825688074,47.66355140186916,47.22222222222222,6.532839941718589
model_gru_011,52.654867256637175,34.492753623188406,52.654867256637175,100.0,68.98550724637681,0.0,0.0,0.0,51.71307924636274
model_gru_012,47.34513274336283,47.31934731934732,50.0,47.05882352941176,48.484848484848484,44.73684210526316,47.66355140186916,46.15384615384615,10.527824030692342
model_gru_013,53.09734513274337,35.51894918173988,52.888888888888886,100.0,69.18604651162791,100.0,0.9345794392523363,1.8518518518518516,54.96801330818194
model_gru_014,49.557522123893804,46.50332225913621,54.71698113207547,24.369747899159663,33.72093023255814,47.97687861271676,77.57009345794393,59.285714285714285,8.521195668249742
model_gru_015,46.017699115044245,45.74576938213302,48.35164835164835,36.97478991596639,41.904761904761905,44.44444444444444,56.074766355140184,49.586776859504134,5.5033042987121465
model_gru_016,48.23008849557522,48.107153370621134,50.847457627118644,50.42016806722689,50.63291139240506,45.370370370370374,45.794392523364486,45.58139534883721,4.087542038043921
model_gru_017,46.902654867256636,35.21261347348303,45.45454545454545,4.201680672268908,7.6923076923076925,46.97674418604651,94.39252336448598,62.732919254658384,7.647955882010366
model_gru_018,45.13274336283185,32.426697530864196,22.22222222222222,1.680672268907563,3.125,46.08294930875576,93.45794392523365,61.72839506172839,-4.874787945556693
model_gru_019,50.442477876106196,39.531772575250834,81.81818181818183,7.563025210084033,13.846153846153847,48.837209302325576,98.13084112149532,65.21739130434783,14.562638305406653
