tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_gru_048,model_gru_025,model_gru_004,model_gru_040,model_gru_023,model_gru_039,model_gru_017,model_gru_049,model_gru_041,model_gru_044,model_gru_047,model_gru_031,model_gru_026,model_gru_027,model_gru_036,model_gru_001,model_gru_042,model_gru_018,model_gru_035,model_gru_005,model_gru_008,model_gru_029,model_gru_037,model_gru_033,model_gru_024,model_gru_032,model_gru_014,model_gru_043,model_gru_034,model_gru_002,model_gru_011,model_gru_046,model_gru_038,model_gru_009,model_gru_030,model_gru_028,model_gru_013,model_gru_022,model_gru_050,model_gru_006,model_gru_016,model_gru_015,model_gru_021,model_gru_045,model_gru_007,model_gru_012,model_gru_003,model_gru_010,model_gru_019,model_gru_020
2026-01-03,1.0,-1.1034116873888166e-05,1.2957897739232105,0.99005111234531,0.5931689,0.5750613,0.56256866,0.50123656,0.5414359,0.61521626,0.54322153,0.51054806,0.5647893,0.54286987,0.48906973,0.5449806,0.55982786,0.71635485,0.5414417,0.5589393,0.5539355,0.5273654,0.42800513,0.5458809,0.5559739,0.52426773,0.55739564,0.48691088,0.5268086,0.51694894,0.5206916,0.5618835,0.51775974,0.5345303,0.50011754,0.5196409,0.5212906,0.50770426,0.48223975,0.51809907,0.5667232,0.47378105,0.5906029,0.62063795,0.5427642,0.61009353,0.52882904,0.2997826,0.6204479,0.5336905,0.45098472,0.40020633,0.5370514,0.5662949
2026-01-04,1.0,-0.0163020432437238,3.4990375212865805,2.5137383113592904,0.5142285,0.4647991,0.4789883,0.41364565,0.47746953,0.50912285,0.42980763,0.45132455,0.47808197,0.48363006,0.4301312,0.43992427,0.48145863,0.5525795,0.5158477,0.42674193,0.45229888,0.5266721,0.415843,0.5114962,0.49343917,0.5169633,0.47036448,0.49687132,0.4523706,0.5071449,0.4690034,0.5054124,0.47708204,0.46773523,0.48153675,0.450213,0.46251792,0.50239015,0.4606515,0.45338887,0.53600746,0.4915134,0.52165407,0.56416255,0.50139797,0.545782,0.5258209,0.40819952,0.5401872,0.5382707,0.54887986,0.46376473,0.52838176,0.5828919
2026-01-05,0.0,-2.805643002547868,0.6210504435895601,-0.11912093706725,0.51393205,0.4718774,0.4868888,0.40803316,0.4683947,0.5084838,0.50178456,0.4307415,0.50183475,0.46235937,0.44061282,0.391591,0.45383528,0.5655678,0.5120293,0.43580472,0.4505369,0.50000197,0.41787797,0.44999883,0.4496803,0.476233,0.45517868,0.50440115,0.4394441,0.47744393,0.41373533,0.51162523,0.42410696,0.47781244,0.43372396,0.44215673,0.4313323,0.4625014,0.44879678,0.4558183,0.51291955,0.46825674,0.53327906,0.55110466,0.54650986,0.52154756,0.5610817,0.45711935,0.5405228,0.5052664,0.4066603,0.49082214,0.5348863,0.55321056
2026-01-06,0.0,-3.3322591363202543,0.0,-2.57567322610848,0.473678,0.4239988,0.43658468,0.41545582,0.4055434,0.4710958,0.46841618,0.418612,0.46070445,0.4011959,0.45536166,0.37956062,0.4673115,0.53263134,0.47483167,0.40920973,0.406816,0.38331863,0.40509588,0.41328746,0.40402573,0.4383188,0.43689284,0.5080376,0.3825168,0.4315942,0.38232082,0.49593732,0.41104767,0.41968197,0.4368004,0.4053186,0.3962839,0.43114176,0.43991777,0.44018227,0.4682902,0.4450107,0.46174055,0.49878666,0.48020506,0.46232113,0.49301136,0.5064001,0.5144916,0.4789618,0.4241603,0.4816126,0.51429784,0.49244642
2026-01-07,0.0,-2.2728618434127457,0.3538121107200562,-0.28955845252425,0.4276261,0.395514,0.38956386,0.41412365,0.39990145,0.43046954,0.44494998,0.42834952,0.42356092,0.38475138,0.44829822,0.3816535,0.43728364,0.44272485,0.4424952,0.3852491,0.4097297,0.34556744,0.4355886,0.4011636,0.3796852,0.43969235,0.39954558,0.4762374,0.37646937,0.39936104,0.3817055,0.4769194,0.3954561,0.37870806,0.44324905,0.37088495,0.40016517,0.41877398,0.45053443,0.40317798,0.44686323,0.44550562,0.40946454,0.48660314,0.46606007,0.43252853,0.47705343,0.52634734,0.46880248,0.47234452,0.45166218,0.52733606,0.5114688,0.5003815
2026-01-08,0.0,-1.5546458976333632,1.0727762843917097,-0.50479560758538,0.44631165,0.42926073,0.4260938,0.45667544,0.45045263,0.45086884,0.45526326,0.44570962,0.43349442,0.42663532,0.47236946,0.43184268,0.44821984,0.4439866,0.44964424,0.42912617,0.4565485,0.39209184,0.48689926,0.44046804,0.42702782,0.4585357,0.44403586,0.47968128,0.4287962,0.42201227,0.42633545,0.48312068,0.44249287,0.42879468,0.5001671,0.41865167,0.44798583,0.4530802,0.4717154,0.43888953,0.47435823,0.46099013,0.42642367,0.4905707,0.48394832,0.4431456,0.48902717,0.5323291,0.4785788,0.48705044,0.50635314,0.5365346,0.50052863,0.51120806
2026-01-09,0.0,-0.2621224213731839,0.2101908007801602,-0.15079553615388,0.5037675,0.50523615,0.49262127,0.50623214,0.5203525,0.51861405,0.50905645,0.51319957,0.4946329,0.5044825,0.50088626,0.50895023,0.50354224,0.5299078,0.4914407,0.49863455,0.5202882,0.45760736,0.5086866,0.5012408,0.50006175,0.4922928,0.51213783,0.4887564,0.502014,0.46957153,0.4872772,0.52810323,0.49389157,0.4894742,0.5368968,0.49279976,0.5005509,0.47822022,0.493937,0.48428407,0.51860654,0.4758126,0.48054087,0.5424595,0.49154207,0.49305302,0.5052889,0.5016248,0.5204748,0.5025691,0.52783537,0.50063956,0.5155399,0.5197685
2026-01-10,1.0,-0.2973322532852666,0.8572537712954149,0.56077122089449,0.5295941,0.5269062,0.5248872,0.51692724,0.5348473,0.5421224,0.5109936,0.5142868,0.51496047,0.52609104,0.5088712,0.5258299,0.52413404,0.55510294,0.51597667,0.5194917,0.5380811,0.5035421,0.49580407,0.5229403,0.532644,0.5029756,0.54575604,0.5027927,0.5234269,0.5001173,0.5133819,0.52774596,0.5230516,0.525214,0.54370815,0.52252144,0.52658725,0.50306606,0.50964284,0.52252394,0.5397892,0.49006373,0.51309717,0.5579849,0.5166479,0.5197154,0.5283358,0.48490217,0.5605079,0.51273465,0.5545385,0.48601627,0.51800925,0.53593427
2026-01-11,1.0,-0.9773731181856038,1.641480167142524,0.3099670437196,0.47688448,0.46324188,0.45481068,0.45033818,0.5085753,0.45827898,0.42724797,0.46406296,0.47127044,0.48835558,0.4559547,0.45776626,0.4580085,0.42145965,0.509467,0.45851034,0.4630141,0.51248765,0.5320932,0.5306837,0.5166135,0.5197169,0.4910423,0.4864843,0.4827119,0.50548714,0.48579434,0.46676868,0.51232004,0.49782068,0.5437679,0.48790562,0.5042292,0.52185684,0.53324395,0.47184798,0.52332866,0.53334373,0.4745243,0.47267008,0.49914458,0.5010984,0.52886254,0.58340937,0.5212843,0.54925376,0.6236289,0.5749428,0.5146366,0.5379444
2026-01-12,1.0,-0.2780977827798945,5.538202782590246,4.4116152506374195,0.5183943,0.51331824,0.53090775,0.47349137,0.5369954,0.5214645,0.529141,0.49640012,0.5116261,0.5258895,0.48750296,0.49918818,0.46284515,0.5200546,0.52914137,0.5084124,0.5175206,0.5349357,0.53432524,0.5132428,0.51905936,0.49775836,0.5119305,0.50424147,0.5123996,0.5090374,0.48876345,0.50810826,0.50186455,0.53801805,0.51140815,0.52937734,0.49176395,0.4959626,0.50738305,0.4907901,0.5324587,0.5124488,0.51136255,0.5135563,0.54106927,0.52883387,0.5459713,0.55575734,0.53398156,0.51970243,0.5211122,0.52458537,0.51397103,0.52909726
