tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_gru_027,model_gru_006,model_gru_047,model_gru_034,model_gru_037,model_gru_016,model_gru_023,model_gru_021,model_gru_013,model_gru_022,model_gru_030,model_gru_017,model_gru_044,model_gru_042,model_gru_014,model_gru_008,model_gru_026,model_gru_039,model_gru_036,model_gru_049,model_gru_028,model_gru_029,model_gru_040,model_gru_050,model_gru_005,model_gru_046,model_gru_015,model_gru_001,model_gru_020,model_gru_032,model_gru_048,model_gru_043,model_gru_007,model_gru_025,model_gru_035,model_gru_031,model_gru_010,model_gru_002,model_gru_003,model_gru_041,model_gru_009,model_gru_045,model_gru_024,model_gru_018,model_gru_004,model_gru_033,model_gru_012,model_gru_019,model_gru_038,model_gru_011
2026-01-03,1.0,-1.1034116873888166e-05,1.2957897739232105,0.99005111234531,0.52945715,0.61957896,0.49744582,0.5808822,0.587473,0.5964295,0.62931126,0.58563596,0.5933719,0.60028714,0.6416935,0.539224,0.62236434,0.65235627,0.58963084,0.62028384,0.583841,0.65499043,0.56931126,0.6018762,0.6150838,0.56945544,0.4596427,0.61162007,0.60039145,0.60316265,0.62555736,0.5482936,0.6154469,0.5823273,0.50784546,0.5161782,0.57808024,0.6123896,0.61582714,0.5394211,0.6317659,0.6060423,0.60048324,0.5928404,0.6305448,0.59638923,0.52666813,0.6067908,0.6118364,0.60959953,0.6037213,0.65364254,0.62013197,0.47918123
2026-01-04,1.0,-0.0163020432437238,3.4990375212865805,2.5137383113592904,0.50593036,0.47398204,0.5501487,0.49493045,0.46903524,0.49880132,0.442927,0.5024617,0.49114114,0.46097818,0.48991793,0.51141274,0.4481546,0.46334335,0.45816496,0.436133,0.5199006,0.49758428,0.47691545,0.434466,0.445672,0.5252317,0.5689222,0.47382703,0.46422172,0.4460159,0.45994604,0.4602522,0.4926697,0.48189753,0.5115474,0.48527262,0.51011497,0.4469624,0.46082896,0.49173215,0.4816463,0.4536737,0.4512483,0.4338198,0.45969358,0.47804564,0.52124375,0.48896003,0.4647593,0.43391836,0.49046567,0.51697695,0.5263402,0.44147158
2026-01-05,0.0,-2.805643002547868,0.6210504435895601,-0.11912093706725,0.5195288,0.47391403,0.5517416,0.49526697,0.5008587,0.5260778,0.47165248,0.4850739,0.51306695,0.46676078,0.49929315,0.48917004,0.48111215,0.49768955,0.47660828,0.47622114,0.4928674,0.5301261,0.453695,0.49864203,0.47629258,0.5155255,0.4574648,0.48108876,0.52873373,0.51585066,0.5068567,0.48488694,0.5083424,0.52622426,0.48103738,0.4247412,0.5125444,0.5158261,0.49282867,0.46401012,0.52859914,0.51168567,0.4841802,0.51250696,0.556185,0.5154249,0.44666737,0.5106125,0.50472754,0.45380878,0.52342886,0.5297373,0.53625286,0.44129005
2026-01-06,0.0,-3.3322591363202543,0.0,-2.57567322610848,0.4946539,0.5066613,0.4915936,0.4919692,0.5157681,0.5127336,0.48793343,0.48580194,0.48193452,0.4669746,0.4462931,0.48459023,0.48119175,0.49141693,0.4683278,0.44466457,0.47649324,0.5055965,0.4767,0.466046,0.45975217,0.48516458,0.42281392,0.46257883,0.4564469,0.45244476,0.46824473,0.47538272,0.44250256,0.48560873,0.45708984,0.40921396,0.4792363,0.4746682,0.4424807,0.46465603,0.48955813,0.45960754,0.46285188,0.4573258,0.46957788,0.50213367,0.45725754,0.43982053,0.47196746,0.424065,0.48930278,0.47108254,0.4881115,0.4512308
2026-01-07,0.0,-2.2728618434127457,0.3538121107200562,-0.28955845252425,0.4648346,0.48420817,0.47530767,0.47517306,0.46865597,0.48772144,0.45375243,0.50249153,0.4500324,0.44051355,0.41714716,0.48119378,0.4241108,0.43281442,0.44180542,0.3980025,0.44713956,0.46919185,0.48294002,0.40343052,0.4160582,0.4517279,0.4838871,0.4176453,0.39578128,0.37849262,0.4108527,0.43797642,0.39102122,0.43929285,0.50897115,0.4384304,0.44333485,0.40906364,0.39674672,0.45505434,0.41512087,0.39815447,0.4127905,0.39325106,0.40383315,0.4433719,0.45591167,0.39713606,0.4234048,0.38099626,0.42536476,0.42996165,0.4441014,0.4194656
2026-01-08,0.0,-1.5546458976333632,1.0727762843917097,-0.50479560758538,0.47986057,0.5179969,0.47917992,0.50049,0.5054224,0.5096699,0.5008902,0.5140853,0.47308847,0.47979462,0.479196,0.50412744,0.47342885,0.48711866,0.474779,0.4767104,0.48742706,0.5295444,0.48846233,0.47377622,0.46733317,0.49587604,0.55371094,0.47533405,0.4659437,0.46719012,0.46532938,0.46990886,0.45615673,0.47947,0.5155971,0.5070604,0.4855675,0.47954595,0.46503162,0.49471903,0.48366532,0.46548668,0.46318313,0.46812537,0.49463126,0.472281,0.491078,0.4562843,0.47712123,0.45633706,0.46314684,0.48865598,0.49703118,0.44537053
2026-01-09,0.0,-0.2621224213731839,0.2101908007801602,-0.15079553615388,0.50413895,0.58135456,0.5066625,0.53191364,0.5531826,0.5496525,0.5740358,0.5488364,0.5412352,0.54831934,0.57977146,0.540068,0.55494004,0.5725023,0.5465226,0.57113165,0.54597324,0.6024038,0.52911997,0.5584312,0.54722327,0.5312837,0.5298446,0.55471987,0.5569183,0.54878485,0.565573,0.5012154,0.547893,0.5420183,0.5360472,0.51404023,0.54054016,0.56901884,0.55506295,0.52776134,0.5778708,0.55393314,0.53962064,0.55552953,0.58362836,0.5351939,0.50770295,0.5482747,0.5592824,0.5516775,0.54252243,0.5782993,0.5551751,0.47277257
2026-01-10,1.0,-0.2973322532852666,0.8572537712954149,0.56077122089449,0.4884372,0.56386644,0.49187937,0.54393756,0.5520432,0.54666245,0.58135337,0.5563496,0.5411533,0.54418826,0.58847725,0.51672965,0.5593394,0.57290775,0.5536013,0.56658757,0.5444387,0.59759384,0.5422653,0.54938394,0.5461024,0.5583571,0.5157591,0.55981404,0.53887725,0.53392917,0.5658823,0.50389147,0.5716155,0.54155135,0.50519204,0.5314977,0.5495958,0.5572023,0.55028224,0.5178807,0.575368,0.5454585,0.55071425,0.52342474,0.5684463,0.5310409,0.54685134,0.5488182,0.5597956,0.553853,0.54674166,0.5872833,0.56701356,0.4562964
2026-01-11,1.0,-0.9773731181856038,1.641480167142524,0.3099670437196,0.47808406,0.4527064,0.56024915,0.50554687,0.46447444,0.46054906,0.42434722,0.44084793,0.47096097,0.45157626,0.49532148,0.5010539,0.43862396,0.4275357,0.4494383,0.4345257,0.51683855,0.48969027,0.42811942,0.41346657,0.42313623,0.5244825,0.6640765,0.47052836,0.45686644,0.4445092,0.43651512,0.46068108,0.5047386,0.4788651,0.49954492,0.5538836,0.5140507,0.43831778,0.44017994,0.5179907,0.473739,0.45003957,0.4465753,0.4302533,0.46151817,0.46033368,0.60820425,0.46548808,0.45201382,0.43541998,0.47488958,0.510648,0.52016455,0.4675699
2026-01-12,1.0,-0.2780977827798945,5.538202782590246,4.4116152506374195,0.5223549,0.46798214,0.5672312,0.53013134,0.50691813,0.5193193,0.4749472,0.4500094,0.52928233,0.49156708,0.5350788,0.4908248,0.49546552,0.5002185,0.49759963,0.4903865,0.5042049,0.5413293,0.43687737,0.48585933,0.49588618,0.5295434,0.493324,0.502413,0.5283816,0.5226774,0.49680328,0.51280546,0.53019744,0.53557366,0.47676978,0.47972602,0.5290539,0.51368934,0.510208,0.49634042,0.5214655,0.5239455,0.50874203,0.5089816,0.56304765,0.54169476,0.507967,0.53282994,0.49573767,0.44332477,0.5364661,0.56659174,0.54334074,0.4754916
