nama_juri,accuracy,f1_macro,prec_long,rec_long,f1_long,prec_short,rec_short,f1_short,roi_audisi
model_lstm_001,56.19469026548673,54.70391740054661,63.23529411764706,36.75213675213676,46.48648648648649,53.16455696202531,77.06422018348624,62.92134831460674,10.929598489232513
model_lstm_002,47.78761061946903,47.78352130325815,49.549549549549546,47.008547008547005,48.24561403508772,46.08695652173913,48.62385321100918,47.32142857142857,-17.53487888504546
model_lstm_003,53.53982300884957,52.527657190869625,57.89473684210527,37.60683760683761,45.59585492227979,51.33333333333333,70.64220183486239,59.45945945945946,-1.1072974235869308
model_lstm_004,52.654867256637175,52.06834354125785,55.952380952380956,40.17094017094017,46.766169154228855,50.70422535211267,66.05504587155964,57.37051792828686,-15.297813880064826
model_lstm_005,52.21238938053098,51.971664698937424,54.83870967741935,43.58974358974359,48.57142857142857,50.37593984962406,61.46788990825688,55.371900826446286,3.2165768383046496
model_lstm_006,52.21238938053098,50.14705882352941,52.903225806451616,70.08547008547008,60.29411764705882,50.70422535211267,33.02752293577982,40.0,4.2017925351185115
model_lstm_007,48.67256637168141,48.668546365914786,50.467289719626166,46.15384615384615,48.214285714285715,47.05882352941176,51.37614678899083,49.122807017543856,-13.256579801858607
model_lstm_008,48.23008849557522,48.001022595425844,50.0,52.991452991452995,51.45228215767634,46.07843137254902,43.11926605504588,44.54976303317535,-25.525341255756008
model_lstm_009,51.76991150442478,50.962476361102816,52.89855072463768,62.39316239316239,57.25490196078431,50.0,40.36697247706422,44.67005076142132,-14.02616620138498
model_lstm_010,50.88495575221239,50.53534457261165,52.34375,57.26495726495726,54.69387755102041,48.97959183673469,44.03669724770643,46.3768115942029,-25.980000205347253
model_lstm_011,54.424778761061944,54.22312245580224,57.446808510638306,46.15384615384615,51.18483412322274,52.27272727272727,63.30275229357798,57.26141078838174,22.21928373316091
model_lstm_012,53.98230088495575,52.78425070309362,58.9041095890411,36.75213675213676,45.26315789473684,51.633986928104584,72.47706422018348,60.30534351145038,6.239156386094646
model_lstm_013,53.98230088495575,52.78425070309362,54.48275862068965,67.52136752136752,60.30534351145038,53.086419753086425,39.44954128440367,45.26315789473684,17.205027705349675
model_lstm_014,59.29203539823009,59.03215636822195,59.84251968503938,64.95726495726495,62.295081967213115,58.58585858585859,53.21100917431193,55.769230769230774,24.128935673479553
model_lstm_015,51.32743362831859,50.943247296550645,52.71317829457365,58.119658119658126,55.28455284552846,49.48453608247423,44.03669724770643,46.601941747572816,-2.84425627592143
model_lstm_016,47.34513274336283,46.46362098138748,49.275362318840585,58.119658119658126,53.333333333333336,44.31818181818182,35.77981651376147,39.59390862944163,-26.20335361762201
model_lstm_017,53.09734513274337,51.419532770927965,58.2089552238806,33.33333333333333,42.391304347826086,50.943396226415096,74.31192660550458,60.447761194029844,7.839031305077857
