tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_lstm_005,model_lstm_008,model_lstm_036,model_lstm_033,model_lstm_025,model_lstm_037,model_lstm_022,model_lstm_011,model_lstm_050,model_lstm_026,model_lstm_040,model_lstm_010,model_lstm_023,model_lstm_019,model_lstm_007,model_lstm_046,model_lstm_041,model_lstm_045,model_lstm_015,model_lstm_038,model_lstm_027,model_lstm_029,model_lstm_032,model_lstm_013,model_lstm_006,model_lstm_016,model_lstm_030,model_lstm_001,model_lstm_043,model_lstm_024,model_lstm_039,model_lstm_014,model_lstm_018,model_lstm_044,model_lstm_042,model_lstm_020,model_lstm_009,model_lstm_035,model_lstm_003,model_lstm_028,model_lstm_049,model_lstm_021,model_lstm_012,model_lstm_048,model_lstm_017,model_lstm_034,model_lstm_031,model_lstm_047,model_lstm_004,model_lstm_002
2025-09-25,1.0,-0.3441133437682889,1.190659576674615,0.59364982695478,0.581995,0.5617114,0.5856991,0.57962143,0.55446255,0.58092767,0.601512,0.5446014,0.60923356,0.5489582,0.52814096,0.53617233,0.545062,0.4551312,0.5271863,0.5411096,0.5867964,0.5468879,0.5542205,0.53643715,0.5454993,0.46844387,0.53946203,0.47771686,0.5414001,0.5079578,0.5169437,0.54453623,0.5268887,0.4918514,0.5290284,0.56112456,0.5012037,0.5195126,0.5418206,0.45476544,0.50343966,0.5187816,0.49551892,0.5924199,0.52783245,0.52930963,0.48852026,0.5181209,0.51392627,0.50517935,0.5124492,0.52538645,0.49569553,0.47487333
2025-09-26,0.0,-0.52952953138212,0.0915731903978601,-0.00694091932618392,0.6433081,0.6077732,0.6697916,0.6048601,0.62077427,0.6394984,0.6462,0.6013587,0.6986687,0.5828957,0.5815815,0.55667883,0.5870244,0.46984157,0.53733647,0.5403647,0.6311912,0.5924676,0.5826888,0.5503665,0.61934054,0.5116711,0.56369954,0.5484416,0.5575487,0.5519914,0.57830703,0.5802915,0.5672361,0.5413765,0.54529506,0.55812037,0.5208195,0.5734977,0.57841444,0.50563484,0.4958107,0.5543673,0.567941,0.6144573,0.56076986,0.5691573,0.52538955,0.50593466,0.53778946,0.5626757,0.5525062,0.54033756,0.5179465,0.49480137
2025-09-27,1.0,-0.4075027126504267,2.4454579062341457,2.2797220643522302,0.6120027,0.6228438,0.6693042,0.55734676,0.5605459,0.5985967,0.6665688,0.5472234,0.7173653,0.5842239,0.6173344,0.57659376,0.5810185,0.47956666,0.4595455,0.5179112,0.51763827,0.5534667,0.54778963,0.56387186,0.6363582,0.50053144,0.5354249,0.53413725,0.53932464,0.4727092,0.51687026,0.53161997,0.55224836,0.5547092,0.4456579,0.45853922,0.55805904,0.5854121,0.57666063,0.5510104,0.44935873,0.520106,0.582408,0.6647519,0.5213234,0.5313472,0.43984884,0.42232734,0.49232918,0.5495169,0.49586362,0.53777903,0.4969088,0.51665664
2025-09-28,1.0,-0.539325100910744,1.9739438733178485,1.89695620345703,0.50853467,0.51238793,0.6092444,0.53126806,0.5010341,0.49921387,0.5990721,0.4761526,0.55181485,0.48104942,0.53094304,0.4963731,0.57094073,0.5781935,0.5903558,0.50247586,0.49925962,0.47483402,0.5110932,0.5646419,0.5974084,0.5452208,0.51985645,0.49292502,0.5436126,0.5606619,0.50192827,0.5188064,0.5291125,0.640422,0.50768125,0.51805264,0.5766071,0.56731266,0.5455828,0.5333339,0.5645546,0.56552166,0.585247,0.6554649,0.49709043,0.4903898,0.50371015,0.47358686,0.52125305,0.5437263,0.5623066,0.5639348,0.5116546,0.508812
2025-09-29,0.0,-1.4589877796575488,0.4190592799016273,-0.23036354107678,0.4510063,0.4883711,0.51409626,0.49177608,0.48499694,0.46619976,0.5087821,0.4197836,0.41452962,0.44122097,0.45297334,0.44534984,0.5619408,0.5809893,0.59096307,0.4779904,0.475223,0.46378964,0.47123972,0.55059934,0.52360845,0.5385152,0.46755978,0.5078878,0.45609912,0.5781064,0.5023457,0.48700792,0.45993584,0.5961684,0.4917819,0.53246677,0.53331363,0.51378644,0.4418939,0.49497682,0.5093855,0.5902824,0.5384511,0.5758954,0.4053423,0.4695365,0.5101675,0.49115768,0.52036387,0.513235,0.58005524,0.4940511,0.500486,0.44268718
2025-09-30,1.0,-0.0721529610857708,3.954283068166354,3.90866760019979,0.43172106,0.45145094,0.40826446,0.44652414,0.40132463,0.45779818,0.4388528,0.36218774,0.40739197,0.41805643,0.42199594,0.42479005,0.4769499,0.3987586,0.43290964,0.44099292,0.40953338,0.4456599,0.41227406,0.46819702,0.4156449,0.38701734,0.39351988,0.43342185,0.3935806,0.42850387,0.4094001,0.4248898,0.37790975,0.39428347,0.41888142,0.4693106,0.43420348,0.38546237,0.3458369,0.39622632,0.32105336,0.47500283,0.39329264,0.498256,0.32676122,0.40674254,0.38178602,0.42119217,0.42385957,0.3951194,0.4650384,0.3601306,0.4404559,0.38920173
2025-10-01,1.0,-0.266538148620893,2.0258682820382137,1.61790488991379,0.45453465,0.446574,0.42704713,0.3871635,0.3476942,0.43231907,0.45150357,0.3536682,0.46100843,0.42679015,0.4347035,0.41167042,0.44725466,0.35209984,0.33318657,0.41723707,0.38482064,0.38427663,0.37812704,0.43637922,0.40172735,0.3507167,0.36235306,0.3738374,0.3826974,0.32617998,0.35551336,0.36638248,0.3654088,0.36978287,0.34726095,0.36467028,0.42205966,0.40032145,0.33614966,0.36992666,0.2738731,0.38752037,0.3745612,0.5030471,0.33306962,0.3413064,0.27028337,0.34237218,0.3492078,0.3467403,0.35603333,0.34614608,0.37150782,0.41088724
2025-10-02,1.0,-1.0685417835820217,2.754106024473794,1.4027586512955799,0.5408427,0.55655676,0.56939334,0.5243778,0.49074823,0.5403379,0.5626706,0.5111189,0.59323645,0.5475613,0.53732663,0.5279979,0.54877007,0.4297695,0.49291795,0.5190614,0.50720537,0.49954522,0.52576447,0.5511117,0.5030654,0.43156853,0.49657243,0.48491928,0.5143359,0.47378334,0.4884677,0.51726305,0.49065816,0.4781902,0.4995573,0.5138431,0.49713522,0.50815386,0.4839461,0.46501777,0.45788226,0.50636965,0.4642894,0.60250324,0.47804788,0.48165324,0.45841864,0.47248274,0.49244747,0.50031865,0.48524955,0.4785954,0.48626375,0.43465766
2025-10-03,1.0,-0.5924314329892795,0.4636137462628792,0.12999597126279,0.58676547,0.5984178,0.6299828,0.5435512,0.5378716,0.58027196,0.61795527,0.5508901,0.64984745,0.5873394,0.5964444,0.54245055,0.5816066,0.464718,0.5207013,0.5316953,0.5310835,0.5210383,0.5468571,0.5851461,0.5617819,0.4679776,0.5199531,0.5279531,0.53672487,0.5097188,0.51305205,0.5410128,0.5205765,0.53824896,0.5228176,0.5271707,0.5355339,0.5519051,0.54286027,0.49879128,0.485051,0.53849447,0.5217946,0.655413,0.50683594,0.5105349,0.49670863,0.48033583,0.5172419,0.53810024,0.51088685,0.5078622,0.51116437,0.46781772
2025-10-04,1.0,-0.208566000839999,2.674426027441919,0.88770689789275,0.6083918,0.64050907,0.67689544,0.5509916,0.5676825,0.5990089,0.6508401,0.5745952,0.7031748,0.62183917,0.63804376,0.5711682,0.6074291,0.4845869,0.48153746,0.53738976,0.5311188,0.5408514,0.5647991,0.61034197,0.6014466,0.4980262,0.53376126,0.5727196,0.55078346,0.52261746,0.5394824,0.5600197,0.54232144,0.5785229,0.5233709,0.5244032,0.56419224,0.5868873,0.57588285,0.5527825,0.49401233,0.5595825,0.5641887,0.68646187,0.5098471,0.5275536,0.4953925,0.4645547,0.52953655,0.571463,0.51964515,0.5290384,0.5342611,0.48000315
