nama_juri,accuracy,f1_macro,prec_long,rec_long,f1_long,prec_short,rec_short,f1_short,roi_audisi
model_lstm_001,46.902654867256636,46.902654867256636,48.62385321100918,45.2991452991453,46.902654867256636,45.2991452991453,48.62385321100918,46.902654867256636,-25.34466002869657
model_lstm_002,50.0,48.77133858899521,51.388888888888886,63.24786324786324,56.70498084291188,47.5609756097561,35.77981651376147,40.83769633507853,-13.775385145526627
model_lstm_003,52.21238938053098,51.66732673267327,53.383458646616546,60.68376068376068,56.8,50.53763440860215,43.11926605504588,46.53465346534654,-5.722465730717374
model_lstm_004,53.98230088495575,53.26493279249185,54.74452554744526,64.1025641025641,59.055118110236215,52.80898876404494,43.11926605504588,47.474747474747474,20.292117635191268
model_lstm_005,47.34513274336283,46.79407284309652,48.837209302325576,35.8974358974359,41.37931034482759,46.42857142857143,59.63302752293578,52.208835341365464,-46.617654734249186
model_lstm_006,49.557522123893804,49.52194357366771,51.45631067961165,45.2991452991453,48.18181818181818,47.96747967479675,54.12844036697248,50.86206896551724,-19.5425292720097
model_lstm_007,51.32743362831859,51.082251082251084,52.800000000000004,56.41025641025641,54.54545454545454,49.504950495049506,45.87155963302752,47.61904761904761,-12.056044413597101
model_lstm_008,54.424778761061944,53.16957370189309,59.72222222222222,36.75213675213676,45.5026455026455,51.94805194805194,73.39449541284404,60.836501901140686,8.810425587975102
model_lstm_009,53.98230088495575,53.45742574257426,57.647058823529406,41.88034188034188,48.51485148514851,51.77304964539007,66.97247706422019,58.4,1.679819893809372
model_lstm_010,48.67256637168141,48.267424421817026,50.3875968992248,55.55555555555556,52.84552845528455,46.391752577319586,41.284403669724774,43.689320388349515,-27.081206879096833
model_lstm_011,48.23008849557522,46.64110584199375,50.0,63.24786324786324,55.84905660377358,44.871794871794876,32.11009174311927,37.4331550802139,-34.83173141057788
model_lstm_012,51.32743362831859,51.23195229127433,52.94117647058824,53.84615384615385,53.38983050847458,49.532710280373834,48.62385321100918,49.074074074074076,-14.661934672659902
model_lstm_013,51.76991150442478,51.69330326502598,54.0,46.15384615384615,49.76958525345622,50.0,57.798165137614674,53.61702127659574,-11.435215127506865
model_lstm_014,49.11504424778761,49.090125560713794,50.96153846153846,45.2991452991453,47.963800904977376,47.540983606557376,53.21100917431193,50.21645021645021,-14.689653831007274
model_lstm_015,52.21238938053098,50.66699005578462,53.02013422818792,67.52136752136752,59.3984962406015,50.649350649350644,35.77981651376147,41.935483870967744,14.268661421872048
model_lstm_016,51.32743362831859,51.293103448275865,53.04347826086957,52.13675213675214,52.58620689655172,49.549549549549546,50.45871559633027,50.0,-6.893965288458026
