tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_lstm_030,model_lstm_024,model_lstm_036,model_lstm_042,model_lstm_010,model_lstm_029,model_lstm_021,model_lstm_011,model_lstm_050,model_lstm_038,model_lstm_037,model_lstm_047,model_lstm_027,model_lstm_026,model_lstm_009,model_lstm_004,model_lstm_022,model_lstm_034,model_lstm_020,model_lstm_043,model_lstm_046,model_lstm_017,model_lstm_041,model_lstm_035,model_lstm_028,model_lstm_012,model_lstm_018,model_lstm_049,model_lstm_002,model_lstm_019,model_lstm_032,model_lstm_023,model_lstm_045,model_lstm_013,model_lstm_039,model_lstm_044,model_lstm_007,model_lstm_040,model_lstm_016,model_lstm_025,model_lstm_048,model_lstm_008,model_lstm_006,model_lstm_031,model_lstm_033,model_lstm_005,model_lstm_003,model_lstm_014,model_lstm_001,model_lstm_015
2026-01-03,1.0,-1.1034116873888166e-05,1.2957897739232105,0.99005111234531,0.61009747,0.65244013,0.606882,0.62879413,0.6405581,0.6214737,0.6450153,0.63090616,0.6640026,0.6008792,0.6567623,0.6328753,0.6756591,0.66521335,0.66156155,0.6643516,0.61494654,0.654937,0.63655216,0.63390684,0.64529085,0.6816104,0.63271236,0.6443179,0.64065725,0.647837,0.676347,0.673568,0.6037975,0.61740816,0.63020295,0.6691528,0.62698275,0.6584959,0.6415369,0.67315763,0.66037375,0.64756024,0.6353134,0.64468014,0.6582329,0.6454964,0.6444268,0.661491,0.6642,0.6685072,0.6337207,0.6771092,0.70938605,0.6446014
2026-01-04,1.0,-0.0163020432437238,3.4990375212865805,2.5137383113592904,0.4835674,0.5171222,0.51992846,0.49744168,0.43708205,0.4794982,0.47630644,0.4722792,0.47433883,0.48043317,0.48603714,0.47928488,0.45450997,0.44816464,0.5028628,0.5101656,0.513497,0.47763458,0.50958157,0.4741285,0.46411604,0.44154146,0.509299,0.45633826,0.462587,0.47223857,0.4592416,0.45688212,0.5240287,0.5095454,0.49478707,0.4839064,0.5222511,0.42406496,0.46905243,0.5124356,0.5349264,0.4639993,0.4721428,0.45617878,0.46801934,0.46191385,0.47160563,0.47258735,0.4306435,0.44679466,0.45927987,0.48377633,0.45179677,0.44536456
2026-01-05,0.0,-2.805643002547868,0.6210504435895601,-0.11912093706725,0.5115526,0.5497602,0.44863358,0.5304872,0.52526593,0.5023107,0.5118907,0.5339312,0.521218,0.4742692,0.5346493,0.51483244,0.542548,0.52232283,0.55202514,0.5644348,0.5397042,0.55749404,0.5380526,0.5434716,0.5497659,0.56390774,0.5403058,0.55329144,0.5046403,0.5385619,0.5503514,0.5468915,0.55902183,0.544854,0.5190722,0.53540224,0.5507113,0.5386446,0.54606706,0.57714295,0.5678449,0.5422901,0.5345611,0.52870744,0.5657041,0.54569817,0.5535518,0.53785,0.516451,0.55481267,0.53681225,0.5776429,0.52410364,0.52299774
2026-01-06,0.0,-3.3322591363202543,0.0,-2.57567322610848,0.49926394,0.48249513,0.43710217,0.48013645,0.48595878,0.4968197,0.49430868,0.49654257,0.46831807,0.45593652,0.4761565,0.49026415,0.51107746,0.4837473,0.49292722,0.4754504,0.49143,0.4843602,0.5076744,0.4882207,0.48266056,0.4953216,0.48279396,0.49967358,0.46203196,0.47806126,0.46277782,0.483325,0.4932539,0.5172418,0.44942498,0.4695517,0.48670495,0.5043337,0.48865333,0.5047364,0.46398774,0.48421508,0.45167527,0.47427505,0.4687496,0.48040742,0.46590048,0.45508423,0.46383268,0.4766495,0.4608785,0.4364286,0.43817052,0.46287155
2026-01-07,0.0,-2.2728618434127457,0.3538121107200562,-0.28955845252425,0.44472376,0.42666954,0.41597375,0.42897844,0.42352358,0.4346386,0.43449187,0.4342994,0.4095153,0.43321356,0.4254595,0.420634,0.4264758,0.43686262,0.42539027,0.41489157,0.42773277,0.42678875,0.46046957,0.40240878,0.41428816,0.40670848,0.42878196,0.42129728,0.4042434,0.41643855,0.4089559,0.40473676,0.43470958,0.46160483,0.42023683,0.41389245,0.44318652,0.4218469,0.42097968,0.41966635,0.40471786,0.4009056,0.38387877,0.40198547,0.38786086,0.39064902,0.38028407,0.38059378,0.40713832,0.39889526,0.39908612,0.37824756,0.37356564,0.39434582
2026-01-08,0.0,-1.5546458976333632,1.0727762843917097,-0.50479560758538,0.4994012,0.4649067,0.4538793,0.48016483,0.4847464,0.4702713,0.4704475,0.46013045,0.47296813,0.45936915,0.47149944,0.4575185,0.4685378,0.4813372,0.4784956,0.4833523,0.4513379,0.47935227,0.49819905,0.45675844,0.47119278,0.4817721,0.46312872,0.46041468,0.46430308,0.4641216,0.4791079,0.45459417,0.4608382,0.4997767,0.46625656,0.4678388,0.46929774,0.4817336,0.48138234,0.47125432,0.4542016,0.4497076,0.44836816,0.43982694,0.46320924,0.4481639,0.4431928,0.45829943,0.47620043,0.48126152,0.45408764,0.46157897,0.47264946,0.46036556
2026-01-09,0.0,-0.2621224213731839,0.2101908007801602,-0.15079553615388,0.5635874,0.5482383,0.5209662,0.54475087,0.54842836,0.5402177,0.5395272,0.5288933,0.5581398,0.5155345,0.5525691,0.52558917,0.54464597,0.5519509,0.56284666,0.55384374,0.5180568,0.54532856,0.54906523,0.5323355,0.54576504,0.55322915,0.53646517,0.53136545,0.5506991,0.53651756,0.55473197,0.53803194,0.52078056,0.5506125,0.5491608,0.55080914,0.538889,0.5415387,0.5480972,0.55284196,0.5435363,0.5359178,0.5298434,0.52371997,0.5378064,0.53474545,0.51960814,0.54108894,0.5624842,0.5438405,0.528959,0.53662914,0.54375815,0.5411653
2026-01-10,1.0,-0.2973322532852666,0.8572537712954149,0.56077122089449,0.5741328,0.5710076,0.53153014,0.5538941,0.53947735,0.5476477,0.56310683,0.54444534,0.5617329,0.5385918,0.5513252,0.5490964,0.54214793,0.5413088,0.57110584,0.5545968,0.53664213,0.54023427,0.56216455,0.54193056,0.5441678,0.5274509,0.5516567,0.52778554,0.54630023,0.53506625,0.5351907,0.53575015,0.5384611,0.5566077,0.5430641,0.551254,0.54811746,0.5240244,0.5400782,0.5565714,0.5596879,0.53647465,0.5337385,0.5357897,0.51786476,0.5319776,0.5134468,0.53462315,0.5483269,0.5173676,0.52543676,0.5248921,0.514248,0.53640634
2026-01-11,1.0,-0.9773731181856038,1.641480167142524,0.3099670437196,0.46551508,0.4660112,0.4719187,0.472419,0.42225698,0.4688611,0.4281701,0.43600744,0.4426899,0.43385404,0.42991737,0.44193506,0.4159961,0.41377714,0.46788973,0.48473042,0.48290387,0.44009238,0.47807184,0.44254926,0.44854754,0.44314396,0.49812746,0.42535794,0.42742124,0.44155878,0.42355287,0.43440962,0.48416165,0.46014383,0.45490766,0.44947985,0.50949496,0.41830704,0.45726416,0.485503,0.49230608,0.43676767,0.44911376,0.4186991,0.43812346,0.4385546,0.41597548,0.45276973,0.4027843,0.44860333,0.433305,0.4561263,0.4268989,0.431506
2026-01-12,1.0,-0.2780977827798945,5.538202782590246,4.4116152506374195,0.52095443,0.552538,0.4354609,0.5316198,0.52948487,0.5090793,0.51180625,0.53849137,0.52011365,0.47373727,0.51681626,0.5109427,0.5328361,0.48903826,0.549513,0.5444423,0.5420911,0.5374877,0.5207641,0.5275841,0.55405366,0.5574085,0.55625385,0.5476084,0.4883701,0.52805144,0.5399208,0.5401037,0.5409631,0.53303695,0.5306145,0.52271,0.5643929,0.5226074,0.54324085,0.56350046,0.5612168,0.5356766,0.53321284,0.52029335,0.54696465,0.5349762,0.511349,0.5175226,0.50308424,0.53787583,0.5383558,0.55966467,0.50016147,0.5131557
2026-01-13,1.0,-0.8998378795943168,2.5971353259389565,1.59884232879441,0.5012727,0.49742258,0.44373238,0.4691639,0.46468547,0.5052254,0.5112458,0.49287087,0.44891822,0.45856687,0.470917,0.49454835,0.4732405,0.43696612,0.4836013,0.44517836,0.48764852,0.4475957,0.48923334,0.47055224,0.46485904,0.46467024,0.4990242,0.4767544,0.4419968,0.45456126,0.44268784,0.46790332,0.47671315,0.517556,0.4642154,0.44652233,0.48892406,0.4570465,0.46836373,0.47476125,0.4700293,0.4623303,0.43188274,0.4568197,0.43272832,0.45527774,0.42123607,0.41291136,0.42283133,0.41318113,0.45149383,0.40175432,0.38440713,0.42547357
2026-01-14,0.0,-1.8922271938918416,0.2488449100884681,-1.39907134975526,0.4570473,0.4611138,0.47163323,0.44123518,0.40451106,0.4706762,0.4686014,0.45001698,0.39787233,0.45764953,0.43229467,0.44332874,0.4112779,0.40268266,0.42818314,0.40640762,0.44979918,0.40716845,0.46216932,0.4076533,0.41079786,0.38365868,0.44827342,0.40670308,0.38406453,0.4065276,0.3927217,0.39787626,0.43609276,0.49399912,0.426355,0.400596,0.44977626,0.37824756,0.398148,0.40319943,0.41810918,0.39510244,0.37830308,0.40014628,0.3642289,0.38095546,0.35115084,0.35525444,0.37701917,0.3487503,0.38722983,0.3533653,0.31771633,0.36196882
2026-01-15,0.0,-1.381119389587807,0.2785412233210071,-0.05635195827788,0.46190202,0.46917027,0.46442667,0.45386863,0.44373012,0.46382,0.48411208,0.45308736,0.4348285,0.44785142,0.4524176,0.4434577,0.45412993,0.44396195,0.4528591,0.4430677,0.44663355,0.445809,0.47932866,0.42285243,0.43621635,0.44479105,0.46132955,0.43728545,0.4265026,0.4291995,0.43314922,0.42714515,0.43726072,0.49661875,0.44393265,0.4269294,0.45532128,0.42627266,0.43622217,0.43436104,0.4383537,0.42319855,0.4145191,0.4142866,0.4163262,0.41898227,0.39276448,0.4078369,0.4186304,0.42533624,0.41640732,0.40443835,0.4073458,0.4130479
2026-01-16,0.0,-0.5554537567508967,0.0925883422519423,-0.42283516305703994,0.50692916,0.51138556,0.49378783,0.49307123,0.5014355,0.50446033,0.51507765,0.48251987,0.49377924,0.47652003,0.50119513,0.48275024,0.49989077,0.49609822,0.5037672,0.5055378,0.47725734,0.5014094,0.51733965,0.47780606,0.49206865,0.5115302,0.49673662,0.48165756,0.48242587,0.4810099,0.49386987,0.47998387,0.47654423,0.5287882,0.49582562,0.49301872,0.49401826,0.4807018,0.49258983,0.49553508,0.49581087,0.48126253,0.47593772,0.45850632,0.47251895,0.47509682,0.45998392,0.47816056,0.4881283,0.4843175,0.4636801,0.48120102,0.47904125,0.47529453
2026-01-17,0.0,-1.6236256924072985,0.4020901490341921,-1.56196681906746,0.55198914,0.53892297,0.5188553,0.54258233,0.51220334,0.5305058,0.51262015,0.5037449,0.52412397,0.50380087,0.5142749,0.51497525,0.49096924,0.49225882,0.5281653,0.5289879,0.5015384,0.5081125,0.54574,0.5084947,0.50933784,0.4938158,0.52959454,0.47632703,0.5001545,0.5028184,0.49314722,0.48576075,0.5223113,0.54420924,0.5136844,0.51541585,0.52756345,0.47635397,0.51156026,0.5153111,0.52787143,0.4926558,0.5056068,0.47907227,0.46054876,0.49015415,0.46254995,0.5045134,0.49396923,0.4811168,0.48862156,0.4901171,0.48490152,0.49150592
2026-01-18,0.0,-1.899947518848207,0.0,-1.11876297516868,0.5002027,0.49428728,0.48120907,0.50267583,0.4743414,0.49170044,0.45707795,0.47090313,0.48723397,0.46233785,0.4706715,0.4749725,0.47023153,0.45296597,0.5097034,0.5232328,0.5017496,0.49035805,0.5048812,0.4749962,0.48506168,0.49148977,0.5214632,0.4670657,0.46836552,0.4801918,0.4764638,0.4806461,0.5050609,0.497891,0.49782476,0.49516475,0.53366405,0.45602742,0.492464,0.52890235,0.52525276,0.47763368,0.49338102,0.46041638,0.47821727,0.4825503,0.45851102,0.5044899,0.45954013,0.49521422,0.46931764,0.50783426,0.49440622,0.46157232
2026-01-19,0.0,-5.246978898931191,0.2576806941691226,-4.64390422167479,0.52282643,0.54274017,0.4322636,0.5322559,0.51956725,0.50338197,0.5058901,0.528911,0.5174909,0.47742906,0.50979966,0.51114774,0.5168947,0.48519242,0.54363805,0.53535724,0.53554577,0.5259288,0.52203435,0.5230841,0.54182285,0.5512239,0.5392579,0.5365281,0.48556796,0.52591616,0.52429074,0.53524137,0.54406357,0.53375965,0.52365315,0.52259594,0.5533281,0.5074366,0.5348023,0.5622278,0.5551264,0.5245256,0.5247281,0.5132982,0.5357016,0.529851,0.5173851,0.5181871,0.497892,0.5220109,0.52814627,0.55064285,0.5076014,0.50163966
2026-01-20,1.0,-1.3252195936066165,2.3982379516605765,1.15478706304071,0.5294432,0.5146259,0.46787345,0.51130635,0.4988665,0.5332997,0.5040072,0.5155844,0.4967544,0.4851955,0.51407,0.51137626,0.50018376,0.49433896,0.51389545,0.49926236,0.50640386,0.49348816,0.51123214,0.4990903,0.51149553,0.52825356,0.510904,0.5015295,0.47973248,0.50787306,0.49396014,0.5129443,0.50440615,0.5382192,0.5036446,0.4972021,0.5107931,0.48543796,0.5098378,0.5114505,0.49870956,0.49235058,0.47552317,0.49282357,0.4929331,0.48806953,0.47494593,0.47024056,0.4845664,0.47751188,0.48392636,0.4707097,0.47718453,0.48080993
2026-01-21,1.0,-1.055647800890784,1.0068893671474084,0.11724197832196,0.4725929,0.4421956,0.41601405,0.4389701,0.41712907,0.45063838,0.47316286,0.451504,0.40555075,0.45571023,0.43454126,0.4383119,0.42574617,0.42640224,0.4449779,0.40032277,0.43538582,0.4052436,0.46671748,0.4093337,0.41490856,0.40933847,0.43920305,0.4305343,0.40613192,0.414986,0.40289465,0.41630122,0.4319029,0.45545676,0.4219872,0.42179555,0.45261773,0.40713117,0.39599073,0.41829172,0.4130484,0.42297143,0.38496402,0.4163029,0.38515493,0.40744606,0.36071232,0.37532037,0.39692515,0.36532763,0.4120258,0.3552847,0.3813768,0.3966539
2026-01-22,1.0,-1.101752305676707,1.842376566032697,0.04531147192842,0.48890394,0.4727775,0.45705286,0.46076033,0.48626003,0.48146614,0.49215114,0.47489452,0.4510448,0.47123474,0.4599183,0.44785887,0.47424012,0.49416324,0.48785776,0.47536224,0.45126697,0.46813065,0.49182785,0.4416379,0.47363713,0.5124778,0.45929956,0.47655,0.45758453,0.45733187,0.48055562,0.48107773,0.45202765,0.48126042,0.45162216,0.46644592,0.4790677,0.48686987,0.4705449,0.47120106,0.45159736,0.4620786,0.4416186,0.44488457,0.46591786,0.4552763,0.44691086,0.45211047,0.4641499,0.47486773,0.46824098,0.46867847,0.5274374,0.46249303
2026-01-23,0.0,-0.490238466981747,0.3977892013224022,-0.4193141802223,0.5018759,0.48359337,0.44782713,0.47862053,0.49006367,0.47061685,0.48953608,0.4735392,0.46710834,0.47333962,0.46001303,0.46057716,0.45834348,0.47643086,0.4880605,0.4827194,0.4599625,0.4638494,0.5015243,0.45661134,0.4783163,0.46784955,0.4843399,0.46530613,0.4696624,0.4555217,0.47265935,0.45835492,0.46433425,0.4900382,0.45176065,0.45576796,0.48444596,0.47055134,0.48490915,0.4748748,0.4695259,0.4545385,0.46326116,0.4422951,0.45276102,0.45789716,0.4503762,0.46038723,0.4607757,0.46001768,0.4738454,0.4542043,0.4918427,0.46301502
2026-01-24,0.0,-3.594932371792415,0.1050606704614573,-2.9053123136142,0.557834,0.5572432,0.5087156,0.5289662,0.5635258,0.5310882,0.56152505,0.5366088,0.5451035,0.5281417,0.5406987,0.5298625,0.55208796,0.55605537,0.57324994,0.5518297,0.52259415,0.54033613,0.55057144,0.5448168,0.5495893,0.54888463,0.5391103,0.54723763,0.549766,0.5263041,0.56137383,0.5461226,0.512898,0.5425302,0.5192054,0.53993744,0.54462063,0.5520153,0.5502906,0.55373406,0.55602014,0.53938055,0.53247917,0.52545756,0.53496665,0.5335775,0.5292841,0.5371288,0.55229175,0.5436406,0.53397584,0.5406348,0.56625265,0.5368295
2026-01-25,1.0,-0.185621960308787,2.495014068373878,1.91611910276511,0.4450449,0.46301994,0.4531736,0.44505775,0.4011384,0.44725445,0.42813593,0.41472697,0.41073456,0.43127605,0.41677758,0.42064068,0.39560091,0.39522454,0.44638893,0.45354584,0.4699338,0.41457912,0.45281383,0.41925967,0.43907884,0.41500217,0.4782322,0.41396216,0.4059002,0.4248778,0.4082359,0.40934017,0.45938084,0.45502135,0.45602426,0.4252665,0.4902683,0.38713747,0.4325506,0.45722204,0.47200835,0.41919833,0.423449,0.39901868,0.41605544,0.41127685,0.39861104,0.41779608,0.38448748,0.4170692,0.4168612,0.4267036,0.39853612,0.40993628
2026-01-26,1.0,-1.1873087152492503,1.3224214903428275,1.01682728080736,0.4885595,0.53788966,0.41985,0.48402476,0.46118113,0.467491,0.49735487,0.48337066,0.44198918,0.45831463,0.4787426,0.48400867,0.4340695,0.4239898,0.47969458,0.46449095,0.49891868,0.45805722,0.4859396,0.47761226,0.5052091,0.46730718,0.51476276,0.4780117,0.413154,0.46497303,0.47684246,0.46800512,0.51277655,0.5335179,0.5044497,0.45518756,0.5097694,0.4525844,0.4814634,0.47890782,0.5243563,0.46795395,0.47790337,0.45248586,0.46737185,0.48482516,0.45437944,0.43541583,0.42089716,0.43339574,0.49104154,0.49402803,0.4051828,0.44424194
