tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_lstm_018,model_lstm_004,model_lstm_047,model_lstm_038,model_lstm_011,model_lstm_029,model_lstm_016,model_lstm_014,model_lstm_043,model_lstm_026,model_lstm_025,model_lstm_001,model_lstm_036,model_lstm_024,model_lstm_032,model_lstm_042,model_lstm_046,model_lstm_027,model_lstm_013,model_lstm_017,model_lstm_028,model_lstm_010,model_lstm_022,model_lstm_003,model_lstm_045,model_lstm_007,model_lstm_033,model_lstm_023,model_lstm_037,model_lstm_049,model_lstm_050,model_lstm_035,model_lstm_044,model_lstm_002,model_lstm_015,model_lstm_006,model_lstm_019,model_lstm_031,model_lstm_008,model_lstm_009,model_lstm_012,model_lstm_020,model_lstm_005,model_lstm_041,model_lstm_034,model_lstm_039,model_lstm_030,model_lstm_048,model_lstm_040,model_lstm_021
2024-11-29,0.0,-1.413586745548115,0.0040528626682724,-1.08529554161065,0.57078356,0.47085285,0.5467143,0.5365826,0.63133544,0.56936425,0.5794351,0.57088804,0.55582577,0.55913514,0.5926181,0.55862063,0.5566192,0.5626783,0.57969636,0.55450314,0.51355743,0.5480116,0.59161997,0.5205821,0.5669369,0.49188116,0.56088626,0.4966711,0.56278616,0.6226056,0.5400751,0.5867113,0.56886613,0.5565274,0.5931619,0.54473436,0.5679672,0.5578574,0.56268346,0.5303438,0.5463206,0.5271335,0.55625945,0.61274797,0.5169122,0.55757326,0.6258632,0.5332223,0.558829,0.552909,0.5554402,0.54945326,0.5760286,0.5816557
2024-11-30,1.0,-0.7434735428483485,1.4703525469520595,0.8029148706736899,0.5009646,0.41071448,0.49017277,0.5131115,0.5982861,0.57388896,0.5637803,0.55496836,0.50909513,0.51851434,0.5705127,0.5323551,0.53531665,0.55045164,0.49033397,0.49747083,0.51870716,0.552771,0.53886896,0.36312318,0.5518452,0.49687362,0.55139107,0.48291788,0.5513633,0.5212789,0.53869146,0.5373275,0.5829069,0.5290311,0.5648823,0.5277091,0.5136437,0.5523214,0.53521067,0.5569333,0.51307595,0.5198013,0.51781577,0.53925335,0.52073634,0.5097871,0.592906,0.47669142,0.49398592,0.5264486,0.5264573,0.543443,0.5181712,0.5487816
2024-12-01,0.0,-2.913012505898392,0.9674899512411724,-1.3931627244584,0.46137232,0.5382494,0.414775,0.4354624,0.4322474,0.3935364,0.39973715,0.38728613,0.40454406,0.36829862,0.38671726,0.35493946,0.37005845,0.37365437,0.40164256,0.4394244,0.37307668,0.4188193,0.43861338,0.5143755,0.41838735,0.38365585,0.38374883,0.3683679,0.38295943,0.4258095,0.39920035,0.42326665,0.41572967,0.38232276,0.43492585,0.36403808,0.40820125,0.38424146,0.40087825,0.3650343,0.42611167,0.40064442,0.5155049,0.38650545,0.3614967,0.37833503,0.43334752,0.42042893,0.4056281,0.4126678,0.40281346,0.3756514,0.44612578,0.3926998
2024-12-02,1.0,-2.388947367511532,0.4839034572169101,0.009463180488125696,0.49495897,0.55775595,0.46215037,0.483805,0.44946557,0.4883905,0.4725271,0.47612464,0.5025851,0.4310318,0.42749152,0.4441011,0.47911653,0.39237732,0.45829833,0.45668104,0.50071543,0.49365592,0.48868817,0.59489733,0.46102795,0.5016903,0.47308174,0.50119835,0.4344351,0.48061115,0.49053335,0.4538461,0.4672381,0.4615001,0.43780252,0.43737885,0.45493641,0.4539889,0.47299117,0.46494395,0.4682854,0.47363296,0.59911233,0.46323982,0.46762735,0.49549586,0.47385845,0.53245515,0.46340904,0.49523836,0.5165308,0.465584,0.52316415,0.50915563
2024-12-03,1.0,-1.3252414418642673,3.2338614868302216,2.8161417666881396,0.5267174,0.4882465,0.51473886,0.53862613,0.5275668,0.5696456,0.5815495,0.58610237,0.5837027,0.54794383,0.5341918,0.5774038,0.6055341,0.51744145,0.522445,0.50697446,0.6144067,0.5639555,0.5608712,0.54095924,0.5325333,0.58321,0.6197742,0.60958993,0.56641793,0.5628822,0.5903088,0.5528949,0.54522026,0.60210407,0.48648456,0.56719744,0.57234883,0.5554213,0.55095726,0.5754593,0.5272406,0.54122275,0.5500605,0.55557066,0.58619565,0.57509327,0.5278165,0.58771616,0.6014025,0.51879126,0.59862036,0.5655243,0.5686328,0.5971668
2024-12-04,0.0,-8.55928022272887,5.429404226800561,-1.67923470412215,0.37554705,0.3569137,0.39730382,0.36543205,0.42865327,0.47405255,0.44679266,0.4323112,0.4063216,0.429596,0.41913977,0.42254916,0.465651,0.45093372,0.35965642,0.3630064,0.47624058,0.44286868,0.34448215,0.37501338,0.432784,0.38957465,0.45436507,0.45612848,0.49224114,0.3744916,0.3959293,0.41436496,0.4153544,0.4677056,0.3639524,0.33775675,0.395409,0.42490423,0.42126328,0.4515983,0.40203544,0.39771387,0.43252116,0.39136106,0.4750924,0.33162594,0.35525578,0.3697601,0.42990714,0.3476345,0.3606334,0.39440784,0.41756555,0.4068503
2024-12-05,1.0,-0.9992549222333156,4.983172260949494,2.84249160874968,0.51359946,0.6133564,0.5303658,0.5067466,0.60646963,0.5772127,0.57422024,0.5664767,0.5740906,0.5456147,0.57606286,0.55181646,0.57216185,0.5551478,0.51037043,0.5256929,0.54275435,0.5480711,0.51717556,0.551498,0.53840464,0.5022554,0.55381817,0.5303879,0.59232193,0.55504894,0.52957904,0.5650851,0.5524303,0.5730757,0.54320425,0.52454257,0.5536594,0.5658167,0.539179,0.54332453,0.52670443,0.5245211,0.59671783,0.5733215,0.5328997,0.5172988,0.57758063,0.5166567,0.56226313,0.5252773,0.5081755,0.55397666,0.57339483,0.56474704
2024-12-06,1.0,-0.9032372232332472,0.6977148198556776,0.09134510578209,0.6042751,0.6500943,0.60787374,0.5794233,0.6651641,0.5931221,0.61241776,0.57635397,0.6277903,0.58326703,0.5945451,0.60948163,0.6000427,0.58253396,0.61850387,0.6021701,0.5573774,0.59807533,0.6483485,0.6275851,0.56201786,0.55345595,0.6128631,0.5438216,0.6067925,0.6775324,0.5945819,0.65250516,0.605116,0.62278205,0.60399514,0.6365817,0.6487745,0.6130291,0.5710188,0.5896295,0.59738624,0.5899591,0.66821414,0.66681725,0.542339,0.62754935,0.67219275,0.5986212,0.65711576,0.6183402,0.60656524,0.62487286,0.6466003,0.6359472
2024-12-07,1.0,-1.1832389889383337,1.5101066610290954,1.27163050682054,0.42081472,0.38063896,0.4104735,0.39664805,0.5072888,0.50574803,0.49697405,0.4676249,0.369732,0.45587286,0.500782,0.45001245,0.4517911,0.5016769,0.42216834,0.40585577,0.46184272,0.48169464,0.4202519,0.3415592,0.49734282,0.41482392,0.4839087,0.40661055,0.48779082,0.410329,0.42810875,0.43178275,0.49989274,0.4336639,0.48471755,0.36372656,0.44792295,0.46836257,0.4621517,0.48157826,0.4178274,0.42822337,0.4647761,0.42303926,0.4613188,0.3671608,0.4331797,0.40545186,0.39540413,0.4305244,0.36976883,0.43412843,0.43401092,0.4426297
2024-12-08,0.0,-7.131519193500494,0.1051177427265866,-3.86478475525823,0.47133037,0.40436953,0.44456905,0.42526814,0.4293074,0.39475277,0.39786953,0.39106503,0.3921438,0.37379164,0.39576992,0.35203052,0.36164713,0.36958024,0.42302212,0.44677484,0.36480242,0.4084335,0.4531697,0.44699612,0.41671032,0.37550926,0.36462837,0.36001727,0.37896717,0.45320377,0.39357716,0.43189853,0.41233802,0.38340616,0.46385634,0.34557837,0.43545324,0.3654688,0.39916223,0.34815538,0.4311391,0.38834855,0.48959538,0.385238,0.35979453,0.37756747,0.42329082,0.45853856,0.40046656,0.40697548,0.38244987,0.3499546,0.44231945,0.39337924
