nama_juri,accuracy,f1_macro,prec_long,rec_long,f1_long,prec_short,rec_short,f1_short,roi_audisi
model_lstm_001,42.47787610619469,42.11065573770492,44.881889763779526,48.717948717948715,46.72131147540984,39.39393939393939,35.77981651376147,37.5,-38.63990718439824
model_lstm_002,49.11504424778761,48.139279656789384,51.28205128205128,34.18803418803419,41.02564102564102,47.97297297297297,65.13761467889908,55.252918287937746,1.4344123806863194
model_lstm_003,45.57522123893805,45.57415565345081,47.22222222222222,43.58974358974359,45.33333333333333,44.06779661016949,47.706422018348626,45.81497797356828,-20.43158138675601
model_lstm_004,46.46017699115044,46.375134817138935,48.30508474576271,48.717948717948715,48.51063829787234,44.44444444444444,44.03669724770643,44.23963133640553,-1.7514794289322935
model_lstm_005,47.78761061946903,45.53104575163399,49.67741935483871,65.8119658119658,56.61764705882353,43.66197183098591,28.440366972477065,34.44444444444444,-20.622302600606496
model_lstm_006,51.32743362831859,50.86179633143579,54.02298850574713,40.17094017094017,46.07843137254902,49.64028776978417,63.30275229357798,55.64516129032258,-13.280134581647065
model_lstm_007,43.80530973451327,43.61875577032628,44.79166666666667,36.75213675213676,40.375586854460096,43.07692307692308,51.37614678899083,46.86192468619247,-29.41403232675832
model_lstm_008,51.32743362831859,49.75341579755841,52.348993288590606,66.66666666666666,58.64661654135338,49.35064935064935,34.862385321100916,40.86021505376344,-2.8845925993464108
model_lstm_009,50.0,49.47672463252023,51.515151515151516,58.119658119658126,54.61847389558233,47.87234042553192,41.284403669724774,44.33497536945813,-13.895359254515574
model_lstm_010,46.017699115044245,45.59160154708343,48.06201550387597,52.991452991452995,50.40650406504065,43.29896907216495,38.53211009174312,40.77669902912621,-31.45682704935423
model_lstm_011,48.23008849557522,48.14785763310128,50.0,50.427350427350426,50.212765957446805,46.2962962962963,45.87155963302752,46.08294930875576,-26.13762789205915
model_lstm_012,48.23008849557522,46.64110584199375,50.0,29.914529914529915,37.4331550802139,47.43589743589743,67.88990825688074,55.84905660377358,-3.3380741508519463
model_lstm_013,47.34513274336283,46.970324361628705,49.21875,53.84615384615385,51.42857142857142,44.89795918367347,40.36697247706422,42.51207729468599,-28.544013895411307
model_lstm_014,48.23008849557522,47.102246584111874,50.0,60.68376068376068,54.826254826254825,45.23809523809524,34.862385321100916,39.37823834196891,-12.57220674366008
model_lstm_015,47.78761061946903,46.9736737453273,49.382716049382715,34.18803418803419,40.4040404040404,46.89655172413793,62.38532110091744,53.54330708661418,-15.133729841232501
model_lstm_016,48.67256637168141,47.75191326530612,50.63291139240506,34.18803418803419,40.816326530612244,47.61904761904761,64.22018348623854,54.6875,-7.517363943125327
model_lstm_017,48.23008849557522,48.14785763310128,50.0,50.427350427350426,50.212765957446805,46.2962962962963,45.87155963302752,46.08294930875576,-31.351120554712146
model_lstm_018,47.78761061946903,47.771249510379945,49.557522123893804,47.863247863247864,48.69565217391305,46.017699115044245,47.706422018348626,46.846846846846844,-26.235813511168317
model_lstm_019,46.017699115044245,45.2936507936508,46.98795180722892,33.33333333333333,39.0,45.45454545454545,59.63302752293578,51.587301587301596,-19.768219432077867
model_lstm_020,49.557522123893804,47.926267281105986,51.006711409395976,64.95726495726495,57.14285714285714,46.75324675324675,33.02752293577982,38.70967741935484,-16.21016168221355
model_lstm_021,43.36283185840708,43.25172630257376,44.44444444444444,37.60683760683761,40.74074074074074,42.51968503937008,49.54128440366973,45.76271186440678,-23.398852674843535
model_lstm_022,47.34513274336283,45.553193643081286,49.333333333333336,63.24786324786324,55.430711610486895,43.42105263157895,30.275229357798167,35.67567567567568,-0.504535553423068
model_lstm_023,50.88495575221239,44.806494906602715,58.82352941176471,17.094017094017094,26.490066225165563,49.47916666666667,87.1559633027523,63.12292358803987,32.182787659069554
model_lstm_024,46.46017699115044,46.28243660007465,47.91666666666667,39.31623931623932,43.1924882629108,45.38461538461539,54.12844036697248,49.37238493723849,-14.906959689617668
model_lstm_025,50.0,49.97551468139704,51.92307692307693,46.15384615384615,48.86877828054298,48.36065573770492,54.12844036697248,51.082251082251084,-16.764613734081593
model_lstm_026,47.78761061946903,47.3754834635725,49.43820224719101,37.60683760683761,42.71844660194174,46.715328467153284,58.71559633027523,52.03252032520326,-11.554174464321978
model_lstm_027,49.557522123893804,49.49423665019995,51.28205128205128,51.28205128205128,51.28205128205128,47.706422018348626,47.706422018348626,47.706422018348626,-11.0778174352203
model_lstm_028,47.78761061946903,47.52459661550571,49.46236559139785,39.31623931623932,43.80952380952381,46.616541353383454,56.88073394495413,51.2396694214876,0.4572041432833202
model_lstm_029,51.32743362831859,51.32362155388471,53.271028037383175,48.717948717948715,50.89285714285714,49.57983193277311,54.12844036697248,51.75438596491229,-6.463045518490492
model_lstm_030,46.017699115044245,45.67307692307692,48.031496062992126,52.13675213675214,50.0,43.43434343434344,39.44954128440367,41.34615384615385,-26.124447648960498
model_lstm_031,47.34513274336283,47.34410181106216,49.09090909090909,46.15384615384615,47.57709251101321,45.689655172413794,48.62385321100918,47.11111111111111,-21.743423314024394
model_lstm_032,48.67256637168141,47.179239200515795,50.70422535211267,30.76923076923077,38.297872340425535,47.74193548387097,67.88990825688074,56.060606060606055,-0.7044131910663168
model_lstm_033,50.442477876106196,49.96837444655281,51.908396946564885,58.119658119658126,54.83870967741935,48.421052631578945,42.201834862385326,45.09803921568628,-20.29380099679237
model_lstm_034,50.0,48.6229303719798,52.77777777777778,32.47863247863248,40.21164021164021,48.701298701298704,68.80733944954129,57.03422053231939,-1.2795717565310838
model_lstm_035,44.24778761061947,44.24342105263158,45.794392523364486,41.88034188034188,43.75,42.857142857142854,46.788990825688074,44.73684210526316,-24.198324656260706
model_lstm_036,48.67256637168141,48.63636363636363,50.48543689320388,44.44444444444444,47.27272727272727,47.15447154471545,53.21100917431193,50.0,-22.660448257092117
model_lstm_037,49.11504424778761,48.75283446712018,51.11111111111111,39.31623931623932,44.44444444444444,47.794117647058826,59.63302752293578,53.06122448979592,-14.397437335252869
model_lstm_038,49.557522123893804,49.15936538006157,51.68539325842697,39.31623931623932,44.66019417475729,48.175182481751825,60.550458715596335,53.65853658536586,1.0324409221155975
model_lstm_039,49.11504424778761,48.94611742982301,50.81967213114754,52.991452991452995,51.88284518828452,47.11538461538461,44.95412844036697,46.009389671361504,-3.5538073444057883
