tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_lstm_030,model_lstm_024,model_lstm_010,model_lstm_002,model_lstm_032,model_lstm_006,model_lstm_015,model_lstm_028,model_lstm_050,model_lstm_044,model_lstm_007,model_lstm_043,model_lstm_049,model_lstm_004,model_lstm_023,model_lstm_019,model_lstm_046,model_lstm_031,model_lstm_027,model_lstm_022,model_lstm_029,model_lstm_016,model_lstm_035,model_lstm_020,model_lstm_037,model_lstm_008,model_lstm_011,model_lstm_018,model_lstm_045,model_lstm_013,model_lstm_041,model_lstm_012,model_lstm_026,model_lstm_048,model_lstm_033,model_lstm_034,model_lstm_040,model_lstm_003,model_lstm_047,model_lstm_014,model_lstm_017,model_lstm_009,model_lstm_005,model_lstm_039,model_lstm_036,model_lstm_038,model_lstm_025,model_lstm_021,model_lstm_001,model_lstm_042
2025-09-25,1.0,-0.3441133437682889,1.190659576674615,0.59364982695478,0.51210135,0.48107702,0.5366929,0.4841368,0.48336086,0.48759308,0.49071947,0.49772692,0.48170128,0.46543315,0.4795698,0.46694407,0.48657295,0.46400174,0.45909774,0.4764983,0.4893662,0.4590283,0.48329154,0.4132248,0.482437,0.45677897,0.4558825,0.4712695,0.42265373,0.47443023,0.4764743,0.45058656,0.42236984,0.46715817,0.3926937,0.4397704,0.46410507,0.4486987,0.4592342,0.42127123,0.4436732,0.42281142,0.44274732,0.42897615,0.41001964,0.41815558,0.4433176,0.39583907,0.38364962,0.43175876,0.42057613,0.39062312,0.3968878,0.3798873
2025-09-26,0.0,-0.52952953138212,0.0915731903978601,-0.00694091932618392,0.55447316,0.5114938,0.57072365,0.5283015,0.5433013,0.5689341,0.51400954,0.53175193,0.50840026,0.50407827,0.49032652,0.50046366,0.52254957,0.5150358,0.50015306,0.48865464,0.5206053,0.49635735,0.5187932,0.45735022,0.5080574,0.4970199,0.4884579,0.5170374,0.47573042,0.50576633,0.5103887,0.47336206,0.4726779,0.49959663,0.42874786,0.45866522,0.47757933,0.51177686,0.49470967,0.4663679,0.4636044,0.4298926,0.48307672,0.4679097,0.4409971,0.43919054,0.48651367,0.43649483,0.40084413,0.48317745,0.41441053,0.4073619,0.43627787,0.40904173
2025-09-27,1.0,-0.4075027126504267,2.4454579062341457,2.2797220643522302,0.5226784,0.49868998,0.5415444,0.4957744,0.49158886,0.5143464,0.515503,0.5303078,0.48667744,0.47523054,0.46234092,0.4471586,0.4753603,0.44440255,0.47307363,0.44034845,0.46256638,0.4676823,0.49576232,0.39751258,0.47114635,0.46862057,0.45273894,0.49604422,0.4329784,0.46311435,0.44186792,0.43016315,0.44768468,0.4643396,0.37334174,0.41424528,0.42777735,0.41943204,0.42539054,0.4161879,0.41471103,0.35456926,0.47517553,0.41867453,0.39499328,0.37782505,0.45005164,0.41210887,0.34485388,0.47572535,0.38371933,0.36866453,0.39387092,0.4008574
2025-09-28,1.0,-0.539325100910744,1.9739438733178485,1.89695620345703,0.4433741,0.45297393,0.4212678,0.37725267,0.42967436,0.45863158,0.4497972,0.4010847,0.4020223,0.4045979,0.4452643,0.41835222,0.33852768,0.4011933,0.37985712,0.3832864,0.3537602,0.3846694,0.43588787,0.38199136,0.4109077,0.41402027,0.40870726,0.37931523,0.43290392,0.36354622,0.3745198,0.41665962,0.40560243,0.35684428,0.38044497,0.40978733,0.34812975,0.42167106,0.41638422,0.39180598,0.30943593,0.29032516,0.39947602,0.39784154,0.29172438,0.30700544,0.35264197,0.4008831,0.35631883,0.41290674,0.3571146,0.32237822,0.32605922,0.301476
2025-09-29,0.0,-1.4589877796575488,0.4190592799016273,-0.23036354107678,0.52770674,0.5412424,0.4647311,0.47940657,0.5103324,0.53389657,0.56539917,0.45917565,0.5032263,0.5002953,0.53072554,0.53733546,0.45324522,0.45426077,0.47557017,0.48436585,0.4133246,0.48841155,0.54045755,0.51916224,0.5283274,0.5165034,0.54418474,0.4418579,0.54774034,0.46868205,0.44633228,0.5456087,0.50790596,0.47636238,0.5163287,0.54728425,0.4329108,0.5135701,0.5126257,0.4643526,0.4172819,0.4091584,0.49001637,0.49716187,0.36144158,0.41118628,0.41567692,0.49590436,0.49536607,0.47826216,0.50179183,0.46361208,0.41211826,0.37289095
2025-09-30,1.0,-0.0721529610857708,3.954283068166354,3.90866760019979,0.55233884,0.5627886,0.54543906,0.56471425,0.5512207,0.57593447,0.59311926,0.5289467,0.55107826,0.54169774,0.5387544,0.6100699,0.561853,0.5107153,0.5386019,0.54819435,0.50284445,0.516235,0.5526472,0.51986074,0.5527792,0.49146363,0.54970396,0.49042678,0.5709769,0.52811515,0.5298896,0.5607242,0.5052963,0.5749516,0.52827305,0.56032264,0.49006355,0.51228964,0.5327786,0.49549633,0.51618856,0.5268664,0.4993596,0.4852088,0.43475246,0.5104146,0.4804777,0.46438438,0.49510187,0.45847887,0.532722,0.4972788,0.46278432,0.43646735
2025-10-01,1.0,-0.266538148620893,2.0258682820382137,1.61790488991379,0.44924134,0.444767,0.49630812,0.4375143,0.39880607,0.42181695,0.4758329,0.43956825,0.47267896,0.43952486,0.45111325,0.44324607,0.47559202,0.37860757,0.42335728,0.4449721,0.40306577,0.46048033,0.4634521,0.3548709,0.46795383,0.3876836,0.41365445,0.42741412,0.40302885,0.45008585,0.4109382,0.4286803,0.35979497,0.42996642,0.36017504,0.4113734,0.37138906,0.36998913,0.40765622,0.36692753,0.4038792,0.44805944,0.41687578,0.37601125,0.35735062,0.39211276,0.36974084,0.3263868,0.35000324,0.3502392,0.43068802,0.3816071,0.35458627,0.36668888
2025-10-02,1.0,-1.0685417835820217,2.754106024473794,1.4027586512955799,0.53018814,0.4896307,0.5524996,0.48774624,0.4967732,0.5179572,0.48769036,0.47703245,0.4868949,0.4837075,0.4946895,0.4916148,0.5092743,0.48209837,0.45694682,0.4863013,0.49654356,0.5009595,0.50785214,0.43462494,0.5280568,0.43712014,0.48124707,0.48069498,0.45682892,0.48516726,0.49014905,0.4709431,0.44243425,0.4702998,0.42694923,0.4542819,0.45191962,0.4840266,0.48727927,0.43025512,0.4539949,0.45804778,0.43685985,0.4508512,0.4208815,0.4511874,0.45204586,0.4062573,0.40376857,0.43793917,0.43867075,0.41286972,0.4180452,0.39258203
2025-10-03,1.0,-0.5924314329892795,0.4636137462628792,0.12999597126279,0.5274284,0.4656992,0.56485564,0.47958714,0.49479535,0.53193396,0.47797117,0.46994433,0.4793218,0.4970354,0.47840938,0.47000828,0.5174507,0.50187933,0.4428181,0.45559943,0.4973075,0.5125725,0.5129522,0.4456186,0.54484487,0.42832893,0.4812523,0.5027493,0.45378372,0.49155983,0.46456936,0.45297864,0.4488252,0.46570906,0.42912325,0.43892044,0.44461736,0.48534748,0.46867147,0.41813952,0.44531232,0.4429422,0.43485236,0.45905814,0.433365,0.43918094,0.43932682,0.40590155,0.37884915,0.44030112,0.4239659,0.4141705,0.41543564,0.3968963
2025-10-04,1.0,-0.208566000839999,2.674426027441919,0.88770689789275,0.54068154,0.46271896,0.5758795,0.48825717,0.46896902,0.5118071,0.49007323,0.48012206,0.4957962,0.5106354,0.4653399,0.45692506,0.5425943,0.5206623,0.45006198,0.44660518,0.50363755,0.53906643,0.53127533,0.4570772,0.5590012,0.43640488,0.48082608,0.5319998,0.4541451,0.5149594,0.44777176,0.45072737,0.4573231,0.4742632,0.43751755,0.43511182,0.45411468,0.4485129,0.44546244,0.40230608,0.4510142,0.44389623,0.442571,0.46291435,0.4671295,0.4321715,0.43533772,0.4177963,0.37264732,0.4500046,0.42510167,0.43700153,0.42527223,0.40503755
