nama_juri,accuracy,f1_macro,prec_long,rec_long,f1_long,prec_short,rec_short,f1_short,roi_audisi
model_lstm_001,44.690265486725664,37.42662856889716,37.5,10.256410256410255,16.10738255033557,45.876288659793815,81.65137614678899,58.745874587458744,-30.544858168815196
model_lstm_002,52.21238938053098,50.66699005578462,53.02013422818792,67.52136752136752,59.3984962406015,50.649350649350644,35.77981651376147,41.935483870967744,-8.12264759908677
model_lstm_003,48.23008849557522,46.46826601882782,50.0,29.059829059829063,36.75675675675676,47.46835443037975,68.80733944954129,56.17977528089888,1.8613729335072888
model_lstm_004,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_005,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_006,45.13274336283185,38.54385964912281,40.0,11.965811965811966,18.421052631578945,46.07329842931937,80.73394495412845,58.666666666666664,-27.795712520616917
model_lstm_007,49.11504424778761,40.73111217532097,50.51546391752577,83.76068376068376,63.022508038585215,40.625,11.926605504587156,18.439716312056735,6.817583696212341
model_lstm_008,51.32743362831859,50.45440051020408,52.51798561151079,62.39316239316239,57.03125,49.42528735632184,39.44954128440367,43.87755102040816,17.426425209759735
model_lstm_009,47.78761061946903,47.68518518518518,49.57983193277311,50.427350427350426,50.0,45.794392523364486,44.95412844036697,45.370370370370374,12.633385759566817
model_lstm_010,51.32743362831859,50.86179633143579,52.67175572519084,58.97435897435898,55.64516129032258,49.473684210526315,43.11926605504588,46.07843137254902,3.5819120417352677
model_lstm_011,46.902654867256636,46.2970297029703,48.23529411764706,35.04273504273504,40.5940594059406,46.09929078014184,59.63302752293578,52.0,-0.7476295302916469
model_lstm_012,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_013,48.23008849557522,47.102246584111874,50.0,60.68376068376068,54.826254826254825,45.23809523809524,34.862385321100916,39.37823834196891,-25.634205721109037
model_lstm_014,52.654867256637175,43.00327621561741,52.475247524752476,90.5982905982906,66.4576802507837,54.166666666666664,11.926605504587156,19.548872180451127,42.807179414162874
model_lstm_015,53.09734513274337,52.01121794871795,57.333333333333336,36.75213675213676,44.79166666666667,50.993377483443716,70.64220183486239,59.23076923076923,18.215767433063206
model_lstm_016,49.11504424778761,48.582507369378995,50.75757575757576,57.26495726495726,53.81526104417671,46.808510638297875,40.36697247706422,43.34975369458128,-4.851394470415733
model_lstm_017,52.654867256637175,50.70029153330208,57.8125,31.62393162393162,40.88397790055249,50.617283950617285,75.22935779816514,60.51660516605166,22.644352825709348
model_lstm_018,50.442477876106196,50.407523510971785,52.42718446601942,46.15384615384615,49.09090909090909,48.78048780487805,55.04587155963303,51.724137931034484,21.76455455781911
model_lstm_019,51.76991150442478,51.76141147903734,53.57142857142857,51.28205128205128,52.40174672489083,50.0,52.293577981651374,51.12107623318386,27.054226319157603
model_lstm_020,53.98230088495575,50.73775989268947,62.745098039215684,27.350427350427353,38.095238095238095,51.42857142857142,82.56880733944955,63.38028169014085,17.458660578744865
model_lstm_021,55.75221238938053,53.83986928104575,63.49206349206349,34.18803418803419,44.44444444444444,52.760736196319016,78.89908256880734,63.23529411764706,25.125327978262067
model_lstm_022,54.86725663716814,53.5541586073501,60.56338028169014,36.75213675213676,45.744680851063826,52.25806451612903,74.31192660550458,61.36363636363637,27.522973922417165
model_lstm_023,44.24778761061947,37.55263157894736,37.142857142857146,11.11111111111111,17.105263157894736,45.54973821989529,79.81651376146789,57.99999999999999,-37.45232664899048
model_lstm_024,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_025,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_026,50.88495575221239,42.34031305307192,63.63636363636363,11.965811965811966,20.14388489208633,49.50980392156863,92.66055045871559,64.5367412140575,7.237607531829826
model_lstm_027,52.21238938053098,44.967532467532465,66.66666666666666,15.384615384615385,25.0,50.25125628140703,91.74311926605505,64.93506493506493,39.263642647793745
model_lstm_028,52.654867256637175,52.609402865149825,54.90196078431373,47.863247863247864,51.141552511415526,50.806451612903224,57.798165137614674,54.077253218884124,19.94572611565916
model_lstm_029,47.78761061946903,47.45428751576293,49.45054945054945,38.46153846153847,43.269230769230774,46.666666666666664,57.798165137614674,51.63934426229508,-2.85040104916078
model_lstm_030,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_031,51.76991150442478,49.18205260443528,52.5,71.7948717948718,60.64981949458483,50.0,30.275229357798167,37.714285714285715,22.106041614763445
model_lstm_032,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_033,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_034,50.88495575221239,44.43484616918067,59.375,16.23931623931624,25.503355704697988,49.48453608247423,88.07339449541286,63.366336633663366,12.699358164712635
model_lstm_035,49.557522123893804,35.33132530120482,100.0,2.564102564102564,5.0,48.87892376681614,100.0,65.66265060240963,7.070778611058199
model_lstm_036,50.0,46.603383026324046,53.84615384615385,23.931623931623932,33.13609467455622,48.85057471264368,77.98165137614679,60.07067137809188,21.067471256670636
model_lstm_037,58.4070796460177,58.289484017906226,61.855670103092784,51.28205128205128,56.074766355140184,55.81395348837209,66.05504587155964,60.50420168067227,32.403940459140316
model_lstm_038,51.76991150442478,34.11078717201166,51.76991150442478,100.0,68.22157434402332,0.0,0.0,0.0,29.99452002773578
model_lstm_039,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_040,52.654867256637175,38.30335501977294,52.293577981651374,97.43589743589743,68.05970149253731,62.5,4.587155963302752,8.547008547008547,45.95135128866555
model_lstm_041,51.76991150442478,34.11078717201166,51.76991150442478,100.0,68.22157434402332,0.0,0.0,0.0,29.99452002773578
model_lstm_042,48.23008849557522,46.09284214389105,50.0,65.8119658119658,56.82656826568265,44.44444444444444,29.357798165137616,35.35911602209944,15.346701572649863
model_lstm_043,54.86725663716814,48.764224751066855,54.01069518716578,86.32478632478633,66.44736842105263,58.97435897435898,21.100917431192663,31.08108108108108,29.60542044647079
model_lstm_044,52.654867256637175,49.43860162669622,59.61538461538461,26.495726495726498,36.68639053254438,50.57471264367817,80.73394495412845,62.19081272084806,23.40792862962305
model_lstm_045,52.654867256637175,52.385452970248295,55.434782608695656,43.58974358974359,48.803827751196174,50.74626865671642,62.38532110091744,55.96707818930041,15.456076156268228
model_lstm_046,48.23008849557522,32.537313432835816,0.0,0.0,0.0,48.23008849557522,100.0,65.07462686567163,0.0
model_lstm_047,44.690265486725664,44.208551397254865,46.92307692307692,52.13675213675214,49.392712550607285,41.66666666666667,36.69724770642202,39.02439024390244,-1.2554492649922393
model_lstm_048,51.76991150442478,50.58474253274758,52.77777777777778,64.95726495726495,58.23754789272031,50.0,37.61467889908257,42.93193717277487,-1.2512913715559193
model_lstm_049,51.76991150442478,48.963059647378124,52.46913580246913,72.64957264957265,60.93189964157706,50.0,29.357798165137616,36.99421965317919,22.41333499471082
model_lstm_050,53.98230088495575,45.758331025570016,53.299492385786806,89.74358974358975,66.87898089171973,58.620689655172406,15.59633027522936,24.637681159420293,61.424469925905015
