tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_lstm_042,model_lstm_037,model_lstm_035,model_lstm_016,model_lstm_032,model_lstm_004,model_lstm_008,model_lstm_023,model_lstm_002,model_lstm_010,model_lstm_044,model_lstm_024,model_lstm_022,model_lstm_007,model_lstm_038,model_lstm_020,model_lstm_028,model_lstm_026,model_lstm_015,model_lstm_043,model_lstm_040,model_lstm_017,model_lstm_013,model_lstm_003,model_lstm_031,model_lstm_011,model_lstm_027,model_lstm_046,model_lstm_021,model_lstm_041,model_lstm_030,model_lstm_033,model_lstm_036,model_lstm_045,model_lstm_050,model_lstm_048,model_lstm_005,model_lstm_047,model_lstm_012,model_lstm_039,model_lstm_049,model_lstm_018,model_lstm_009,model_lstm_019,model_lstm_014,model_lstm_006,model_lstm_001,model_lstm_025,model_lstm_034,model_lstm_029
2025-06-17,1.0,-1.0105003924392646,0.9510715690611612,0.32048660451346,0.4414259,0.48548254,0.51023775,0.51001495,0.50631714,0.5555839,0.52150536,0.49140513,0.5454934,0.5175423,0.5605267,0.5095112,0.54872924,0.49388167,0.5074064,0.55109525,0.55427784,0.56168765,0.5940264,0.5894042,0.527414,0.51797336,0.5740704,0.5480993,0.53027755,0.54647005,0.5547391,0.53839314,0.5246536,0.53210133,0.54105324,0.56216824,0.5440518,0.57776713,0.52268016,0.54072577,0.5326541,0.540804,0.533329,0.517807,0.5268589,0.5136109,0.5440824,0.55101776,0.56298053,0.5617707,0.55756307,0.5393714,0.5234077,0.5685601
2025-06-18,0.0,-0.9170911057722232,0.3230550950515953,-0.21779540173212003,0.3155322,0.48221835,0.4066587,0.38062745,0.41400757,0.40764776,0.39757982,0.39581504,0.3737968,0.41012564,0.39456597,0.46782848,0.3962361,0.43373597,0.36127582,0.41839194,0.43868938,0.3744949,0.41101468,0.45792523,0.33655578,0.39684403,0.4335482,0.46727487,0.38803998,0.40832302,0.3785722,0.37804505,0.37914476,0.3986894,0.3861921,0.38462174,0.3613757,0.45454514,0.39816874,0.43990195,0.39874616,0.44733444,0.39041945,0.38702667,0.4150733,0.30984095,0.39567152,0.36097628,0.4556122,0.41685593,0.42525917,0.41279188,0.42738244,0.48848408
2025-06-19,0.0,-2.235406972213293,1.7672885109242638,-1.30856106109857,0.49498117,0.5122573,0.5265668,0.54311365,0.5393292,0.49518135,0.5269391,0.4652264,0.4499887,0.5324324,0.5367565,0.51749575,0.53066796,0.56735706,0.490492,0.5072831,0.5385497,0.54583853,0.4890866,0.56109554,0.50141835,0.5200987,0.55904865,0.5001544,0.5498685,0.5267447,0.4945074,0.46921453,0.56247616,0.49006814,0.49923098,0.50564057,0.51470125,0.55023843,0.5130255,0.55131525,0.4977651,0.49731228,0.5190516,0.5088442,0.5188781,0.34938347,0.4972584,0.4959312,0.5300712,0.51574737,0.52685314,0.5168945,0.6065948,0.5246718
2025-06-20,0.0,-2.4103641013186543,0.6606044084598361,-1.14692277493546,0.596562,0.54364616,0.6095142,0.5756931,0.54576266,0.5280692,0.59780955,0.5882878,0.54208654,0.5151223,0.5601861,0.5434456,0.5466357,0.56209636,0.54455936,0.5793975,0.53793836,0.5617744,0.5388941,0.56887484,0.556835,0.55154467,0.5622439,0.5198546,0.57367426,0.52664787,0.53303725,0.5207675,0.59667176,0.57323885,0.52655107,0.5493375,0.5700127,0.55794334,0.5234853,0.5542278,0.61530364,0.5047821,0.53198844,0.54042697,0.5059773,0.5680056,0.54894185,0.52588564,0.5287509,0.5377831,0.5538486,0.5307971,0.6109451,0.5417901
2025-06-21,0.0,-3.9142474936869007,1.2452596721930649,-1.13859602263607,0.59272945,0.61561495,0.6263311,0.6168963,0.5831083,0.58059394,0.6363334,0.6265318,0.61119395,0.59387374,0.6060929,0.62882185,0.5988081,0.6264532,0.56586707,0.58908993,0.6237152,0.5992206,0.6067511,0.60143334,0.5800856,0.5943653,0.62737113,0.602739,0.61183614,0.5561257,0.6070604,0.56246996,0.61085415,0.61712694,0.5588235,0.59075546,0.61625445,0.6060547,0.57966536,0.58795947,0.6481054,0.5734569,0.59397185,0.58381265,0.5698647,0.5914022,0.6040822,0.5808682,0.5969473,0.59931976,0.60241616,0.58205795,0.61423004,0.6167535
2025-06-22,1.0,-1.3466739094160756,4.937611915541193,4.23728593887924,0.48294628,0.51797503,0.42918763,0.5150687,0.5119908,0.5064312,0.5029434,0.5225327,0.48052183,0.50579745,0.44310722,0.5316235,0.50721174,0.5490674,0.4677562,0.5062598,0.5107489,0.5181617,0.5137052,0.47092786,0.47153872,0.48121515,0.52778864,0.5253315,0.47833443,0.4846613,0.45451516,0.4651339,0.4840113,0.4682946,0.49333173,0.5153233,0.47981656,0.4791951,0.47991517,0.514916,0.4888914,0.49872676,0.48171598,0.49418533,0.5073311,0.49332964,0.50650233,0.4785264,0.4934992,0.48775083,0.4991014,0.5473775,0.5217613,0.549969
2025-06-23,1.0,-0.6781543731945114,0.9035618085769545,0.70862171209309,0.5775853,0.5086366,0.4932803,0.5514272,0.5362631,0.5774244,0.52901465,0.5639733,0.5483517,0.5836661,0.49966204,0.548112,0.5674269,0.5834109,0.5259817,0.57170933,0.57859594,0.5946537,0.5845182,0.54855037,0.52627546,0.53129506,0.5854517,0.59597236,0.5095944,0.57616425,0.5493196,0.51841736,0.5354558,0.53307873,0.5703102,0.58623517,0.5394824,0.54108864,0.5097043,0.56060386,0.5346424,0.58981234,0.5607131,0.5354552,0.58532697,0.6053592,0.5572099,0.54684335,0.5707095,0.5498835,0.5433682,0.5489232,0.52915454,0.6006645
2025-06-24,1.0,-0.2595392115949321,1.9161414250041848,1.1784963544526401,0.44250903,0.4683606,0.52412325,0.4563008,0.4598888,0.5242743,0.4721839,0.47638866,0.48765135,0.4657803,0.48532495,0.4766064,0.49159893,0.45909134,0.47229195,0.5331792,0.49963775,0.50274193,0.5396731,0.5556636,0.45432404,0.4839229,0.5214163,0.51887035,0.45851967,0.5166857,0.4765118,0.48647848,0.4654186,0.5406724,0.49398673,0.5020328,0.47306383,0.5304821,0.4645496,0.5111875,0.49780348,0.5073011,0.47863364,0.45303988,0.47957546,0.5065612,0.5120553,0.47104347,0.5064577,0.51368624,0.5045223,0.4834343,0.4674663,0.5337355
2025-06-25,0.0,-0.7275102647342373,0.8643965555256529,-0.36728244556723,0.36635444,0.44774643,0.4460365,0.40088114,0.3996214,0.43528506,0.43254393,0.4344704,0.39548182,0.3965073,0.42115727,0.43828773,0.41084167,0.40813717,0.39080685,0.43756554,0.42885813,0.41623834,0.44072825,0.48151967,0.38262898,0.4017923,0.44141093,0.4391855,0.40474838,0.44183818,0.40641457,0.39473766,0.4095576,0.4426087,0.403334,0.4113433,0.38752457,0.45317137,0.41345328,0.45251006,0.41224676,0.42718676,0.42867407,0.39814878,0.39901358,0.3530353,0.42873368,0.4072094,0.43932205,0.4124806,0.41631454,0.43505,0.45723554,0.47314867
2025-06-26,1.0,-0.553484233859804,0.734371837348212,0.09395562683026999,0.5987226,0.51468205,0.53683513,0.5344914,0.5064179,0.5339201,0.58485943,0.58071613,0.51432985,0.49134594,0.5360361,0.5161715,0.52177024,0.53721166,0.48511362,0.54880667,0.5148675,0.5369932,0.5697641,0.5640461,0.49406925,0.5028649,0.5480899,0.4923269,0.5413325,0.50861394,0.5176015,0.51005685,0.5726194,0.581187,0.48511115,0.5080574,0.5210652,0.54022497,0.51103646,0.5429491,0.58220404,0.49497333,0.541051,0.5085553,0.49663475,0.5025959,0.5379338,0.5157345,0.50885147,0.5113701,0.52637535,0.5450982,0.5757195,0.52829486
