tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_xgb_028,model_xgb_025,model_xgb_029,model_xgb_002,model_xgb_049,model_xgb_044,model_xgb_031,model_xgb_015,model_xgb_046,model_xgb_007,model_xgb_012,model_xgb_010,model_xgb_030,model_xgb_001,model_xgb_011,model_xgb_023,model_xgb_022,model_xgb_042,model_xgb_035,model_xgb_003,model_xgb_036,model_xgb_048,model_xgb_013,model_xgb_014,model_xgb_038,model_xgb_040,model_xgb_047,model_xgb_018,model_xgb_004,model_xgb_045,model_xgb_033,model_xgb_006,model_xgb_024,model_xgb_019,model_xgb_009,model_xgb_017,model_xgb_043,model_xgb_027,model_xgb_037,model_xgb_050,model_xgb_005,model_xgb_026,model_xgb_041,model_xgb_021,model_xgb_039,model_xgb_008,model_xgb_032,model_xgb_034,model_xgb_020,model_xgb_016
2025-09-25,1,-0.3441133437682889,1.190659576674615,0.59364982695478,0.5029074,0.594101,0.5322555,0.49592295,0.5283733,0.5239083,0.51203394,0.47684556,0.5728434,0.4533828,0.47458678,0.6260343,0.58180815,0.48527253,0.4835321,0.5785122,0.5789009,0.5183772,0.476596,0.5026226,0.58829325,0.55742705,0.59117013,0.57279134,0.49157485,0.47492662,0.5531678,0.6178032,0.49680522,0.47908774,0.54563177,0.5302877,0.49178565,0.47568506,0.5264755,0.52046216,0.4917074,0.52111423,0.5457945,0.732613,0.5182464,0.47713372,0.5198035,0.52420765,0.5609951,0.536376,0.53088814,0.51782596,0.52619696,0.49303406
2025-09-26,0,-0.52952953138212,0.0915731903978601,-0.00694091932618392,0.5659879,0.52016085,0.5019078,0.51437134,0.5111317,0.48814422,0.5588173,0.5076713,0.47522268,0.49892822,0.5142673,0.54539704,0.52116543,0.52783906,0.47548,0.53785956,0.55253935,0.38947242,0.49682918,0.5040738,0.4513824,0.4617118,0.48627898,0.51808757,0.5102049,0.48947322,0.5328204,0.50561374,0.5239641,0.49589467,0.44808173,0.5037469,0.5144515,0.48538423,0.52535033,0.49931988,0.41657537,0.5216988,0.53690803,0.43046078,0.5182464,0.5223334,0.4747077,0.52908427,0.59903926,0.42183378,0.49608037,0.50801736,0.52273303,0.49014506
2025-09-27,1,-0.4075027126504267,2.4454579062341457,2.2797220643522302,0.48834518,0.51879776,0.53026074,0.48626983,0.4744075,0.48076847,0.44899175,0.45867997,0.52113104,0.49416646,0.5287309,0.4715466,0.49979433,0.5377343,0.51412934,0.55249506,0.46577072,0.54993045,0.5265375,0.48693097,0.5314938,0.50248444,0.49129525,0.48078695,0.52416503,0.51547116,0.4552945,0.6128631,0.4608078,0.48957035,0.43253183,0.54125184,0.5235354,0.48674342,0.488738,0.47500655,0.44317666,0.5127942,0.49346924,0.3838463,0.47125742,0.52365106,0.5198035,0.52715266,0.45395002,0.5304609,0.4813968,0.4863965,0.5219904,0.54581827
2025-09-28,1,-0.539325100910744,1.9739438733178485,1.89695620345703,0.49639124,0.43554404,0.4560307,0.49022508,0.48314467,0.50649846,0.5553003,0.47259262,0.45858154,0.46178973,0.5142673,0.40627477,0.42689726,0.511361,0.52524424,0.4245058,0.4494386,0.29901072,0.52270323,0.5023155,0.49849185,0.53745216,0.5150346,0.39306664,0.48054254,0.48050553,0.45750326,0.39406276,0.4720909,0.52222574,0.39967415,0.48913732,0.4716103,0.47259113,0.52524424,0.47500655,0.46885094,0.47156274,0.46056047,0.37418786,0.52200335,0.5245463,0.4992702,0.4772539,0.43915462,0.5584664,0.43747538,0.4811404,0.50583315,0.46211973
2025-09-29,0,-1.4589877796575488,0.4190592799016273,-0.23036354107678,0.52154577,0.6233695,0.53250265,0.56239796,0.5024124,0.53197706,0.54398394,0.4901821,0.5275981,0.51787657,0.52185977,0.5924912,0.60426885,0.5028165,0.52015483,0.6009648,0.61493206,0.53907096,0.52580065,0.5500028,0.4848617,0.49386278,0.52495915,0.62354356,0.52784663,0.47936457,0.5860526,0.53195137,0.55162054,0.488738,0.49652857,0.5269108,0.5144515,0.47372416,0.5116561,0.5072709,0.5272954,0.52879494,0.5719952,0.6074749,0.5182464,0.48198253,0.48198253,0.5279385,0.5741178,0.622296,0.46436968,0.45308208,0.47588578,0.54561836
2025-09-30,1,-0.0721529610857708,3.954283068166354,3.90866760019979,0.46410415,0.49228418,0.51240784,0.4915058,0.5024124,0.45873123,0.5217828,0.51267344,0.48933503,0.53486216,0.49234295,0.40454072,0.5505076,0.43727577,0.5235681,0.42502314,0.48321086,0.42894155,0.49589467,0.5064432,0.5406817,0.5639658,0.518595,0.4102421,0.47936457,0.5101265,0.507918,0.3766936,0.49771687,0.48463953,0.49006552,0.5310431,0.5144515,0.519231,0.486044,0.5110873,0.4764475,0.50626,0.504856,0.5825392,0.4973128,0.48127574,0.4747077,0.52420765,0.50853217,0.5136166,0.48882964,0.52104485,0.5219904,0.454815
2025-10-01,1,-0.266538148620893,2.0258682820382137,1.61790488991379,0.4969982,0.5881896,0.59486234,0.4909929,0.4768412,0.48947564,0.54446733,0.5381225,0.48368067,0.47755864,0.52185977,0.53456175,0.53247815,0.4996865,0.4822991,0.40462777,0.46060428,0.5489619,0.5168956,0.4459716,0.4786,0.47202653,0.5396443,0.4880057,0.47755283,0.49711153,0.4807793,0.60320705,0.5343063,0.47503203,0.406683,0.47149754,0.49178565,0.47372416,0.5095462,0.5110873,0.4301172,0.47156274,0.45471707,0.43568897,0.5182464,0.47205886,0.4743988,0.50227374,0.484679,0.54039395,0.4881135,0.49225378,0.47796434,0.4996815
2025-10-02,1,-1.0685417835820217,2.754106024473794,1.4027586512955799,0.53837466,0.63736904,0.5625165,0.5060933,0.5024124,0.5509521,0.521269,0.5451175,0.5275209,0.47717813,0.47458678,0.5254933,0.57092655,0.6454422,0.5053071,0.5981341,0.57070756,0.62249774,0.52580065,0.5205144,0.5460569,0.46032408,0.42949113,0.4652987,0.52423596,0.523367,0.5009184,0.6211684,0.4990409,0.47503203,0.5139428,0.5247423,0.5144515,0.48538423,0.47838318,0.47191015,0.6064399,0.47156274,0.5288066,0.5198658,0.5182464,0.52812326,0.4872119,0.50675666,0.5892694,0.6097439,0.56824493,0.49244273,0.51235706,0.5698582
2025-10-03,1,-0.5924314329892795,0.4636137462628792,0.12999597126279,0.49462718,0.3671087,0.50684094,0.52016497,0.52157664,0.48011404,0.46533453,0.51267344,0.5167292,0.49788067,0.4803288,0.5167253,0.65531486,0.4097809,0.52015483,0.40555945,0.42875102,0.5969105,0.51235706,0.47379923,0.5145953,0.4582203,0.50245166,0.52762675,0.49157485,0.47164723,0.54990274,0.53508395,0.5212693,0.49460053,0.49575004,0.5627826,0.5144515,0.5004301,0.5189025,0.5051372,0.51168007,0.47375873,0.49230585,0.28965953,0.47125742,0.48127574,0.5255829,0.47497427,0.53534716,0.55821794,0.48098558,0.4994627,0.51747787,0.4919247
2025-10-04,1,-0.208566000839999,2.674426027441919,0.88770689789275,0.48235917,0.5852145,0.5151703,0.55995214,0.524122,0.49926984,0.5469041,0.49390367,0.48307595,0.5538243,0.5142673,0.5094329,0.638735,0.5838169,0.5235681,0.5085529,0.58457184,0.5013168,0.50176907,0.48517567,0.53260654,0.4577198,0.484549,0.53492147,0.480551,0.52995145,0.46304774,0.51720136,0.5184409,0.5206374,0.5412364,0.49589628,0.49178565,0.48538423,0.52535033,0.48378292,0.48540702,0.5287024,0.4683451,0.57435244,0.47125742,0.5283784,0.4872119,0.52908427,0.5580132,0.51811045,0.52832866,0.4779692,0.5008845,0.5110398
