tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_xgb_012,model_xgb_024,model_xgb_026,model_xgb_018,model_xgb_017,model_xgb_027,model_xgb_043,model_xgb_036,model_xgb_013,model_xgb_041,model_xgb_038,model_xgb_049,model_xgb_010,model_xgb_011,model_xgb_037,model_xgb_002,model_xgb_045,model_xgb_033,model_xgb_042,model_xgb_028,model_xgb_030,model_xgb_035,model_xgb_040,model_xgb_020,model_xgb_022,model_xgb_009,model_xgb_047,model_xgb_023,model_xgb_004,model_xgb_044,model_xgb_048,model_xgb_029,model_xgb_001,model_xgb_016,model_xgb_046,model_xgb_014,model_xgb_019,model_xgb_005,model_xgb_050,model_xgb_007,model_xgb_021,model_xgb_025,model_xgb_034,model_xgb_015,model_xgb_031,model_xgb_008,model_xgb_006,model_xgb_003,model_xgb_032,model_xgb_039
2025-09-25,1,-0.3441133437682889,1.190659576674615,0.59364982695478,0.5159489,0.50459373,0.5034313,0.5114723,0.51955706,0.5061629,0.50584215,0.5210882,0.5083999,0.5016298,0.5182209,0.49874952,0.56925774,0.49575043,0.5060209,0.5153623,0.5254301,0.5059656,0.5074349,0.5009702,0.5121825,0.5037933,0.5193459,0.48843977,0.49958193,0.5516832,0.51155657,0.51492995,0.534636,0.49828216,0.54434115,0.49492028,0.492457,0.502872,0.50517803,0.50087154,0.5188144,0.5126666,0.5285634,0.5007851,0.50696856,0.49747154,0.50137365,0.50213814,0.5062408,0.50647247,0.53462046,0.49389935,0.5270291,0.49901882
2025-09-26,0,-0.52952953138212,0.0915731903978601,-0.00694091932618392,0.5104509,0.5041389,0.5009597,0.5156996,0.49125803,0.49743214,0.5014488,0.5068859,0.5112781,0.5001468,0.51659155,0.50346303,0.4999708,0.5108914,0.49754083,0.50184286,0.502352,0.50111973,0.5003626,0.5011464,0.5086715,0.5034402,0.5094435,0.49091396,0.49420336,0.5436543,0.5069223,0.51639754,0.551831,0.49631664,0.52083313,0.5083402,0.5020168,0.4984374,0.50550437,0.50087154,0.5010422,0.5006589,0.50403893,0.49028382,0.4971199,0.5046739,0.49734142,0.495958,0.5056597,0.5020773,0.51791847,0.49902308,0.51319635,0.49895462
2025-09-27,1,-0.4075027126504267,2.4454579062341457,2.2797220643522302,0.50848496,0.5081542,0.5014021,0.49564213,0.5046434,0.5003778,0.5058489,0.4970114,0.49364343,0.49520862,0.4914338,0.5013952,0.5273157,0.5064058,0.50404006,0.512075,0.4896369,0.49920648,0.4995599,0.50312346,0.5005804,0.5012613,0.49836966,0.5046775,0.50755286,0.51954585,0.49943557,0.49341008,0.5092606,0.50391173,0.51048154,0.51096934,0.49527645,0.4986422,0.49788663,0.50087154,0.5110517,0.49866828,0.5266235,0.49961358,0.50085145,0.49771717,0.50633824,0.5001084,0.5022244,0.49874124,0.5061731,0.49587896,0.49930206,0.4812799
2025-09-28,1,-0.539325100910744,1.9739438733178485,1.89695620345703,0.4887457,0.4925121,0.48763913,0.49607316,0.4914417,0.4883709,0.4958397,0.48601273,0.4803606,0.49076828,0.47843814,0.4972664,0.47182104,0.50103796,0.49346483,0.48216054,0.45197895,0.50068456,0.49526304,0.50193983,0.47757736,0.4948907,0.47571996,0.49723122,0.49783018,0.5044611,0.48229417,0.49807185,0.46899754,0.49647367,0.48207748,0.49774346,0.49749032,0.4663455,0.4970555,0.4995485,0.49703407,0.49509633,0.47117513,0.50483984,0.49747816,0.49609533,0.49903607,0.49642974,0.4894601,0.49890092,0.47994208,0.46994478,0.49498397,0.4997123
2025-09-29,0,-1.4589877796575488,0.4190592799016273,-0.23036354107678,0.52057916,0.5038408,0.51488346,0.50544095,0.49624214,0.5042789,0.5016191,0.5219667,0.5085466,0.49165288,0.5142766,0.5022205,0.5514002,0.5142887,0.5015821,0.5000375,0.5220973,0.5068632,0.50604445,0.49608308,0.5087488,0.51000726,0.52057797,0.5168698,0.49833757,0.5601447,0.51398003,0.52860564,0.5453901,0.5042176,0.5279481,0.514399,0.50009584,0.5222792,0.50041026,0.4995485,0.52102935,0.5003522,0.5303602,0.5039455,0.49901578,0.5046739,0.51302963,0.50042605,0.5140841,0.50042546,0.55847734,0.507259,0.5025762,0.5032346
2025-09-30,1,-0.0721529610857708,3.954283068166354,3.90866760019979,0.5042852,0.5054284,0.49816522,0.5007562,0.49172106,0.5078727,0.49812096,0.49131903,0.50030464,0.48732337,0.50413895,0.5013952,0.48483872,0.49012518,0.49808306,0.49646956,0.48524916,0.49605075,0.49435937,0.49485397,0.49409565,0.5030145,0.4958241,0.49760222,0.49950612,0.470934,0.5099741,0.4955324,0.51024634,0.49632704,0.5026207,0.48593587,0.5051977,0.4969763,0.49303183,0.4995485,0.48589572,0.49341154,0.52046216,0.50603503,0.49830905,0.50366473,0.4824557,0.49242532,0.4993369,0.5032341,0.48547748,0.48808435,0.4828862,0.4919453
2025-10-01,1,-0.266538148620893,2.0258682820382137,1.61790488991379,0.49577802,0.4998658,0.49524054,0.500644,0.4991536,0.5033986,0.5071858,0.5099652,0.4906177,0.49469498,0.5057118,0.5012068,0.48311168,0.5139724,0.49970526,0.4956911,0.5035059,0.50018215,0.49860078,0.49846175,0.4857025,0.49902523,0.49771288,0.49004203,0.4942606,0.50948244,0.5022593,0.5079109,0.48229384,0.50389254,0.4964858,0.5005366,0.5040848,0.5012431,0.5068202,0.50087154,0.48450583,0.50680035,0.5097444,0.50459653,0.4971199,0.50317365,0.5043699,0.5000848,0.49375325,0.5007216,0.50011593,0.49994677,0.46791825,0.49802637
2025-10-02,1,-1.0685417835820217,2.754106024473794,1.4027586512955799,0.5070379,0.50459373,0.5183793,0.5012721,0.5130373,0.49755186,0.49854928,0.5178737,0.5111238,0.49992776,0.4972593,0.50397223,0.5377955,0.5157514,0.4989397,0.4974968,0.52390045,0.49587288,0.5052896,0.49638215,0.515097,0.50732994,0.5188444,0.50859356,0.49876437,0.5286633,0.49432033,0.5070928,0.50271976,0.50435597,0.52593666,0.51624304,0.5034027,0.48980334,0.49739853,0.50087154,0.5129962,0.49648932,0.52382386,0.5130688,0.50159156,0.50049686,0.49345636,0.49610302,0.5073136,0.500666,0.53785425,0.5072061,0.53612244,0.50115395
2025-10-03,1,-0.5924314329892795,0.4636137462628792,0.12999597126279,0.5122938,0.4991444,0.5053362,0.48782173,0.4938473,0.49528417,0.50265676,0.5034445,0.49419755,0.4933438,0.5107316,0.49620733,0.4937453,0.5033864,0.5020418,0.49764296,0.48765352,0.49908128,0.49283573,0.4987834,0.4838999,0.49355274,0.5040024,0.5032007,0.49764106,0.45074645,0.50075114,0.47801408,0.48644337,0.5023846,0.49294108,0.5023139,0.50947785,0.49067056,0.50284433,0.4995485,0.48988965,0.50213933,0.49341276,0.4908435,0.49830905,0.50389105,0.5102736,0.4953533,0.49389035,0.49539167,0.48025134,0.49843678,0.49235752,0.4986636
2025-10-04,1,-0.208566000839999,2.674426027441919,0.88770689789275,0.51593024,0.4980605,0.49642363,0.5082677,0.511095,0.50596356,0.50848997,0.5437064,0.50816095,0.5038636,0.5024897,0.50346303,0.5514949,0.51385576,0.5050858,0.51957923,0.4924589,0.5080578,0.50057924,0.4995881,0.5087176,0.5075629,0.49832028,0.50678813,0.5129139,0.5058045,0.52796793,0.49915922,0.5432143,0.49734554,0.5308307,0.50438917,0.510439,0.5015314,0.51103956,0.50399125,0.5244986,0.50852996,0.52280015,0.50883913,0.503614,0.4978634,0.5186865,0.5028146,0.50983965,0.50465083,0.52887493,0.5207491,0.5283312,0.5241879
