nama_juri,accuracy,f1_macro,prec_long,rec_long,f1_long,prec_short,rec_short,f1_short,roi_audisi
model_xgb_001,52.21238938053098,51.23471589546871,53.956834532374096,63.02521008403361,58.139534883720934,49.42528735632184,40.18691588785047,44.329896907216494,39.859545456854086
model_xgb_002,53.09734513274337,53.09734513274337,56.074766355140184,50.42016806722689,53.09734513274337,50.42016806722689,56.074766355140184,53.09734513274337,7.325509892656805
model_xgb_003,48.23008849557522,47.48048543110811,50.74626865671642,57.14285714285714,53.75494071146245,44.565217391304344,38.31775700934579,41.20603015075377,26.325054579173024
model_xgb_004,49.11504424778761,47.383338394574345,51.35135135135135,63.86554621848739,56.92883895131086,44.871794871794876,32.71028037383177,37.83783783783784,51.70452460359981
model_xgb_005,49.557522123893804,49.23549810844893,52.0,54.621848739495796,53.278688524590166,46.53465346534654,43.925233644859816,45.19230769230769,22.34855216130395
model_xgb_006,52.21238938053098,51.46743020758768,54.074074074074076,61.34453781512605,57.48031496062992,49.45054945054945,42.05607476635514,45.45454545454545,38.87795516195574
model_xgb_007,52.21238938053098,51.971664698937424,54.47154471544715,56.30252100840336,55.371900826446286,49.51456310679612,47.66355140186916,48.57142857142857,37.85773085185269
model_xgb_008,44.690265486725664,44.63715287984792,47.0,39.49579831932773,42.922374429223744,42.857142857142854,50.467289719626166,46.3519313304721,-4.375496500082522
model_xgb_009,50.88495575221239,50.605469903715516,53.2258064516129,55.46218487394958,54.32098765432099,48.03921568627451,45.794392523364486,46.889952153110045,24.5056394296158
model_xgb_010,50.88495575221239,50.87629976305637,53.84615384615385,47.05882352941176,50.224215246636774,48.36065573770492,55.140186915887845,51.52838427947598,9.548307032420485
model_xgb_011,54.424778761061944,54.16543603678107,56.451612903225815,58.82352941176471,57.61316872427984,51.9607843137255,49.532710280373834,50.717703349282296,37.49748525948578
model_xgb_012,46.46017699115044,46.45074118315154,49.09090909090909,45.378151260504204,47.161572052401745,43.96551724137931,47.66355140186916,45.73991031390135,-20.61613053139332
model_xgb_013,50.88495575221239,50.86090380208027,53.57142857142857,50.42016806722689,51.94805194805194,48.24561403508772,51.4018691588785,49.7737556561086,28.03141849456756
model_xgb_014,51.32743362831859,49.22385620915033,52.94117647058824,68.0672268907563,59.55882352941176,47.94520547945205,32.71028037383177,38.88888888888889,38.85964296112136
model_xgb_015,50.0,49.9990210474792,52.77777777777778,47.89915966386555,50.22026431718062,47.45762711864407,52.336448598130836,49.77777777777778,41.80299707534716
model_xgb_016,49.557522123893804,48.98217821782178,51.908396946564885,57.14285714285714,54.400000000000006,46.31578947368421,41.1214953271028,43.56435643564357,12.73989179771379
model_xgb_017,50.442477876106196,50.407523510971785,53.09734513274337,50.42016806722689,51.724137931034484,47.78761061946903,50.467289719626166,49.09090909090909,24.60903316230101
model_xgb_018,55.309734513274336,54.66264126958905,56.71641791044776,63.86554621848739,60.079051383399204,53.2608695652174,45.794392523364486,49.246231155778894,30.596357729502166
model_xgb_019,49.11504424778761,49.10607633109444,51.92307692307693,45.378151260504204,48.4304932735426,46.72131147540984,53.271028037383175,49.78165938864629,22.173952320363334
model_xgb_020,50.442477876106196,50.3023639362287,53.68421052631579,42.857142857142854,47.66355140186916,48.091603053435115,58.87850467289719,52.94117647058824,-2.412989619270752
model_xgb_021,55.75221238938053,55.469735182849945,57.599999999999994,60.50420168067227,59.01639344262295,53.46534653465347,50.467289719626166,51.92307692307693,76.14712446157712
model_xgb_022,43.36283185840708,43.322884012539184,46.017699115044245,43.69747899159664,44.827586206896555,40.707964601769916,42.99065420560748,41.81818181818181,-32.05946996429532
model_xgb_023,53.09734513274337,52.46825396825396,54.88721804511278,61.34453781512605,57.936507936507944,50.53763440860215,43.925233644859816,47.0,37.683618828632966
model_xgb_024,51.76991150442478,50.845056370348196,53.62318840579711,62.18487394957983,57.58754863813229,48.86363636363637,40.18691588785047,44.1025641025641,17.115588010323176
model_xgb_025,46.46017699115044,46.33303895594152,49.152542372881356,48.739495798319325,48.9451476793249,43.51851851851852,43.925233644859816,43.72093023255814,2.03617540732821
model_xgb_026,52.654867256637175,51.9693328301587,54.47761194029851,61.34453781512605,57.70750988142292,50.0,42.99065420560748,46.231155778894475,37.836851824667036
model_xgb_027,52.654867256637175,52.317854678103124,54.761904761904766,57.98319327731093,56.326530612244895,50.0,46.728971962616825,48.309178743961354,45.502435649537574
model_xgb_028,47.34513274336283,46.69283066738023,50.0,55.46218487394958,52.589641434262944,43.61702127659575,38.31775700934579,40.79601990049751,-1.6197719126747643
model_xgb_029,44.24778761061947,44.033018867924525,46.236559139784944,36.134453781512605,40.56603773584906,42.857142857142854,53.271028037383175,47.5,-15.480958933082217
model_xgb_030,48.67256637168141,47.98412698412699,51.127819548872175,57.14285714285714,53.96825396825397,45.16129032258064,39.25233644859813,42.0,10.620841926334265
model_xgb_031,50.442477876106196,49.15226998794696,52.44755244755245,63.02521008403361,57.25190839694656,46.98795180722892,36.44859813084112,41.05263157894737,30.63791495434607
model_xgb_032,54.86725663716814,53.94389834572044,56.11510791366906,65.54621848739495,60.46511627906976,52.87356321839081,42.99065420560748,47.42268041237113,24.207635018946053
model_xgb_033,51.76991150442478,51.17242472894492,53.78787878787878,59.66386554621849,56.573705179282875,48.93617021276596,42.99065420560748,45.77114427860697,20.99534222191205
model_xgb_034,45.57522123893805,45.18781425613724,48.41269841269841,51.26050420168067,49.795918367346935,42.0,39.25233644859813,40.57971014492754,11.864115398523676
model_xgb_035,54.86725663716814,54.43548387096775,56.58914728682171,61.34453781512605,58.87096774193549,52.57731958762887,47.66355140186916,50.0,25.3043601024018
model_xgb_036,51.32743362831859,50.86179633143579,53.48837209302325,57.98319327731093,55.64516129032258,48.45360824742268,43.925233644859816,46.07843137254902,32.69504248765681
model_xgb_037,51.76991150442478,50.71918698861704,53.57142857142857,63.02521008403361,57.91505791505791,48.837209302325576,39.25233644859813,43.523316062176164,29.397969586236083
model_xgb_038,49.557522123893804,49.363207547169814,52.066115702479344,52.94117647058824,52.5,46.666666666666664,45.794392523364486,46.22641509433962,10.706571932996667
model_xgb_039,55.309734513274336,55.11199386442745,57.377049180327866,58.82352941176471,58.09128630705395,52.88461538461539,51.4018691588785,52.13270142180095,40.38082123048202
model_xgb_040,49.557522123893804,49.54171562867215,52.25225225225225,48.739495798319325,50.43478260869565,46.95652173913044,50.467289719626166,48.64864864864865,14.995195801986142
model_xgb_041,47.34513274336283,47.170330209990766,50.0,50.42016806722689,50.2092050209205,44.339622641509436,43.925233644859816,44.13145539906103,10.008327070395309
model_xgb_042,53.09734513274337,52.916666666666664,55.371900826446286,56.30252100840336,55.833333333333336,50.476190476190474,49.532710280373834,50.0,34.06707163352917
model_xgb_043,45.13274336283185,44.607843137254896,48.06201550387597,52.10084033613446,50.0,41.23711340206185,37.38317757009346,39.21568627450981,-29.351038625978017
model_xgb_044,47.78761061946903,47.52459661550571,50.40650406504065,52.10084033613446,51.2396694214876,44.66019417475729,42.99065420560748,43.80952380952381,-2.37278064510017
model_xgb_045,50.0,48.910716786364446,52.142857142857146,61.34453781512605,56.37065637065637,46.51162790697674,37.38317757009346,41.45077720207254,17.842755057622366
model_xgb_046,54.86725663716814,54.35247524752476,56.48854961832062,62.18487394957983,59.199999999999996,52.63157894736842,46.728971962616825,49.504950495049506,21.898211275215182
model_xgb_047,50.0,49.99118804707541,52.72727272727272,48.739495798319325,50.65502183406113,47.41379310344828,51.4018691588785,49.327354260089685,9.565691830526157
model_xgb_048,53.53982300884957,53.385585479403616,55.833333333333336,56.30252100840336,56.06694560669456,50.943396226415096,50.467289719626166,50.70422535211267,61.37734247548203
model_xgb_049,42.0353982300885,40.77260087622781,41.891891891891895,26.05042016806723,32.12435233160622,42.10526315789473,59.813084112149525,49.42084942084942,-37.619421980352676
