tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_xgb_032,model_xgb_045,model_xgb_024,model_xgb_001,model_xgb_040,model_xgb_027,model_xgb_048,model_xgb_011,model_xgb_017,model_xgb_014,model_xgb_005,model_xgb_015,model_xgb_012,model_xgb_018,model_xgb_037,model_xgb_022,model_xgb_029,model_xgb_046,model_xgb_023,model_xgb_004,model_xgb_039,model_xgb_019,model_xgb_035,model_xgb_013,model_xgb_020,model_xgb_041,model_xgb_025,model_xgb_049,model_xgb_010,model_xgb_036,model_xgb_042,model_xgb_008,model_xgb_021,model_xgb_047,model_xgb_006,model_xgb_028,model_xgb_016,model_xgb_038,model_xgb_043,model_xgb_003,model_xgb_007,model_xgb_026,model_xgb_030,model_xgb_031,model_xgb_044,model_xgb_002,model_xgb_034,model_xgb_050,model_xgb_009,model_xgb_033
2025-09-25,1,-0.3441133437682889,1.190659576674615,0.59364982695478,0.55066544,0.5468373,0.52825797,0.531559,0.5392789,0.53777415,0.5331289,0.5513969,0.5437743,0.5473813,0.53474355,0.52935785,0.53328514,0.5429993,0.54394114,0.5408111,0.5525661,0.53718925,0.5411567,0.5364642,0.5378237,0.5293776,0.54146594,0.5332532,0.53630793,0.53908336,0.5333113,0.5386588,0.54269266,0.54648376,0.54000574,0.54324347,0.5409477,0.52896476,0.54857403,0.53206867,0.5345362,0.54529834,0.53506315,0.53860664,0.5362034,0.53302157,0.5341015,0.5251489,0.5368237,0.54263014,0.5413289,0.5411992,0.54419184,0.53318876
2025-09-26,0,-0.52952953138212,0.0915731903978601,-0.00694091932618392,0.56979924,0.56249094,0.5587831,0.561566,0.5650491,0.5626553,0.56745225,0.56257993,0.54741454,0.560312,0.5541998,0.5506362,0.54766214,0.55886894,0.5644829,0.5608421,0.5624811,0.55865496,0.55661607,0.54652107,0.5574703,0.56837523,0.5699688,0.5721511,0.5554824,0.54405403,0.56898445,0.5440022,0.5586201,0.5693558,0.55552435,0.5633395,0.5537361,0.5562182,0.5625369,0.5716516,0.54352784,0.5695295,0.5631516,0.559787,0.5650836,0.5354279,0.55163395,0.57343155,0.55461866,0.57016844,0.5587257,0.5699865,0.5757848,0.5625441
2025-09-27,1,-0.4075027126504267,2.4454579062341457,2.2797220643522302,0.5220825,0.54441243,0.5303603,0.5285705,0.5333264,0.52778506,0.5174682,0.5296267,0.534258,0.52197903,0.5359692,0.5399084,0.5239587,0.536948,0.5118261,0.53914803,0.5330796,0.51793873,0.5227051,0.5253924,0.5291801,0.52786654,0.53470886,0.52626705,0.5427827,0.5253639,0.52115506,0.5274384,0.53248656,0.52665704,0.5347316,0.52547675,0.5314009,0.5166172,0.52902716,0.52460635,0.5234363,0.53418833,0.5355589,0.5346225,0.52720165,0.52969116,0.52371794,0.5168092,0.5447388,0.5231835,0.52988875,0.52519554,0.53216314,0.53413993
2025-09-28,1,-0.539325100910744,1.9739438733178485,1.89695620345703,0.39647916,0.4040736,0.41245148,0.4138787,0.39395428,0.40782803,0.39724445,0.40865538,0.3752371,0.4034687,0.41948777,0.41820607,0.40409374,0.39829466,0.39472044,0.4038963,0.40763807,0.40216273,0.4052036,0.40196955,0.4207158,0.39343932,0.3891396,0.39765555,0.4100037,0.40473634,0.41279018,0.43588063,0.4172838,0.4074453,0.39696056,0.42051816,0.4066355,0.4009374,0.40334392,0.39462265,0.4403208,0.4018,0.41462654,0.39410573,0.42530155,0.4170072,0.3912479,0.40715492,0.4245549,0.39990112,0.4049569,0.40000075,0.39419225,0.42249084
2025-09-29,0,-1.4589877796575488,0.4190592799016273,-0.23036354107678,0.5083366,0.49839145,0.49504742,0.5154904,0.5076324,0.5089941,0.49922362,0.5124272,0.5136551,0.50655574,0.5246531,0.4986383,0.50155276,0.51138043,0.49988285,0.5155207,0.5054856,0.5087916,0.49872136,0.50435543,0.51776004,0.49435475,0.50745684,0.5216744,0.49272972,0.50405735,0.50169677,0.50349647,0.5104928,0.51550406,0.5142107,0.50433844,0.49558356,0.49577475,0.50455844,0.51319325,0.50002354,0.51232797,0.5309874,0.5008861,0.50480354,0.5028466,0.4966647,0.51768917,0.5090498,0.51577127,0.5096266,0.5105395,0.5105292,0.51888824
2025-09-30,1,-0.0721529610857708,3.954283068166354,3.90866760019979,0.46632913,0.46703634,0.44625524,0.4528417,0.46375242,0.46136507,0.45924744,0.46400583,0.46590427,0.46683997,0.46791777,0.4794881,0.47138977,0.45799705,0.45726895,0.45664078,0.45877382,0.45545012,0.4618469,0.45470968,0.47939506,0.45475918,0.48612478,0.46251568,0.46703735,0.46000057,0.4579374,0.46565023,0.4582867,0.4644171,0.47070706,0.4655374,0.45488042,0.46456653,0.45453963,0.45994008,0.47625625,0.46847072,0.45299694,0.4687252,0.47279313,0.47570485,0.4456887,0.47111666,0.44386828,0.44895002,0.44507092,0.46151748,0.44245178,0.45664337
2025-10-01,1,-0.266538148620893,2.0258682820382137,1.61790488991379,0.4711035,0.46959597,0.48382288,0.4520794,0.46436116,0.48336264,0.49138376,0.48043856,0.47892255,0.48350403,0.4765479,0.47413796,0.47571835,0.46927541,0.48125258,0.4704095,0.47775626,0.48078662,0.48846018,0.47823602,0.4861649,0.47673467,0.488699,0.46887752,0.46432826,0.4754538,0.4751807,0.4780715,0.4879638,0.48120642,0.48662776,0.47847104,0.48569363,0.47679698,0.47416428,0.47104892,0.48435813,0.48603013,0.47996107,0.47273004,0.486061,0.48649234,0.47845414,0.47512525,0.47579217,0.47854304,0.48376244,0.4589694,0.46400243,0.47459343
2025-10-02,1,-1.0685417835820217,2.754106024473794,1.4027586512955799,0.5493296,0.53878033,0.53445804,0.5317756,0.54657316,0.54343253,0.53734964,0.53990793,0.5280144,0.54122543,0.54555035,0.54141444,0.521522,0.5423469,0.5480576,0.528548,0.54894793,0.55550045,0.5310441,0.5370775,0.542906,0.5416983,0.5431455,0.5375712,0.5459172,0.5459448,0.53411496,0.5327257,0.54082,0.5519859,0.52433425,0.54547644,0.5345881,0.5267071,0.5452545,0.5368037,0.53211963,0.54537195,0.5453583,0.5394983,0.53020006,0.5217951,0.5348021,0.52980083,0.54307127,0.54936457,0.54370314,0.53540665,0.55220646,0.5482423
2025-10-03,1,-0.5924314329892795,0.4636137462628792,0.12999597126279,0.43909308,0.4498207,0.44240054,0.4429519,0.45408735,0.45837846,0.45514977,0.45228696,0.46676785,0.44656911,0.4536157,0.4554442,0.44796017,0.44638395,0.44919062,0.43892875,0.44484153,0.46111855,0.44713792,0.4502184,0.4570442,0.45414305,0.45821822,0.44659156,0.44742554,0.4537595,0.4434931,0.448702,0.45232219,0.43122306,0.46006843,0.44489324,0.44282076,0.44416082,0.4472004,0.46037537,0.44886297,0.44630852,0.4490154,0.45850432,0.4555656,0.455264,0.44670832,0.45558697,0.45220706,0.45857522,0.44950268,0.45159727,0.44855556,0.45129552
2025-10-04,1,-0.208566000839999,2.674426027441919,0.88770689789275,0.5472797,0.5209651,0.52630347,0.52271473,0.53761685,0.5273099,0.5216287,0.5105538,0.5169236,0.5180519,0.524236,0.50902754,0.52572054,0.5222764,0.52149194,0.51888794,0.51234096,0.51396585,0.52469367,0.52558947,0.5281451,0.533785,0.538401,0.5368807,0.5178385,0.5304481,0.52255,0.52279854,0.5128164,0.51856637,0.5205319,0.51912844,0.5152369,0.5340998,0.52280104,0.51417077,0.52286494,0.5240545,0.5280707,0.5154678,0.5172124,0.5138048,0.5146417,0.5320095,0.5242763,0.5371644,0.52338254,0.51423895,0.531325,0.5238967
2025-10-05,1,-0.3230857828694738,2.17671113066462,0.9480412513902199,0.51340383,0.51136017,0.51380694,0.5146615,0.50177455,0.5115979,0.50458384,0.5057852,0.50899863,0.50513786,0.5025414,0.50433564,0.507291,0.5002363,0.50826895,0.5104698,0.5023587,0.50151616,0.51219225,0.5045734,0.49524906,0.51725686,0.51297545,0.5021471,0.5100327,0.50629836,0.5086629,0.5122427,0.5071378,0.50244963,0.5080505,0.50740075,0.5027155,0.5002219,0.52451736,0.5197479,0.50179726,0.521876,0.486735,0.519621,0.50811887,0.5104806,0.508549,0.50081915,0.5187084,0.50670433,0.5043996,0.5146937,0.502728,0.5093745
2025-10-06,0,-3.330685111655133,0.3742910155569617,-2.70398998328903,0.43890798,0.44112834,0.43976292,0.46118712,0.4627292,0.46388936,0.4524103,0.46213165,0.45636657,0.45567867,0.4455139,0.45184338,0.45806238,0.45058337,0.46133402,0.45636413,0.4415053,0.45515743,0.45240605,0.44707906,0.456473,0.45678142,0.4556997,0.47606662,0.44910762,0.43550578,0.45283017,0.45908186,0.46461818,0.42887437,0.4569009,0.45155895,0.44635198,0.45791525,0.44501728,0.4547798,0.46437997,0.44152117,0.45305765,0.43114948,0.4439691,0.44731784,0.45775452,0.4416905,0.43390954,0.44287226,0.45426765,0.4541867,0.4369653,0.44490957
