nama_juri,accuracy,f1_macro,prec_long,rec_long,f1_long,prec_short,rec_short,f1_short,roi_audisi
model_xgb_001,56.19469026548673,56.19383259911894,56.75675675675676,55.26315789473685,56.00000000000001,55.65217391304348,57.14285714285714,56.38766519823789,7.966252400865368
model_xgb_002,50.88495575221239,50.806941857044805,51.45631067961165,46.49122807017544,48.8479262672811,50.40650406504065,55.35714285714286,52.76595744680851,-19.196854075122143
model_xgb_003,54.424778761061944,54.27347908931974,54.400000000000006,59.64912280701754,56.903765690376574,54.45544554455446,49.107142857142854,51.64319248826291,-8.720113691244592
model_xgb_004,52.21238938053098,51.907313997477935,52.307692307692314,59.64912280701754,55.73770491803278,52.083333333333336,44.642857142857146,48.07692307692308,-11.172785222379684
model_xgb_005,55.309734513274336,55.30185834296121,55.65217391304348,56.14035087719298,55.895196506550214,54.95495495495496,54.46428571428571,54.7085201793722,-7.083088141075564
model_xgb_006,53.53982300884957,53.53163491099928,53.91304347826087,54.385964912280706,54.14847161572053,53.153153153153156,52.67857142857143,52.91479820627802,-4.863760118482265
model_xgb_007,58.849557522123895,58.84875183553597,59.45945945945946,57.89473684210527,58.666666666666664,58.26086956521739,59.82142857142857,59.03083700440529,-0.7882838454868533
model_xgb_008,57.9646017699115,57.355949709019406,56.83453237410072,69.2982456140351,62.450592885375485,59.77011494252874,46.42857142857143,52.26130653266332,27.452919687682925
model_xgb_009,45.13274336283185,45.13274336283185,45.535714285714285,44.73684210526316,45.13274336283185,44.73684210526316,45.535714285714285,45.13274336283185,-25.618879686529194
model_xgb_010,49.557522123893804,49.54171562867215,50.0,50.877192982456144,50.43478260869565,49.09090909090909,48.214285714285715,48.64864864864865,-28.241098310314033
model_xgb_011,54.424778761061944,54.4238864415076,54.95495495495496,53.50877192982456,54.22222222222223,53.91304347826087,55.35714285714286,54.62555066079295,-4.383490645762402
model_xgb_012,53.53982300884957,53.53163491099928,54.12844036697248,51.75438596491229,52.91479820627802,52.991452991452995,55.35714285714286,54.14847161572053,-0.16946921526615596
model_xgb_013,56.19469026548673,56.1732385261797,56.41025641025641,57.89473684210527,57.14285714285714,55.96330275229357,54.46428571428571,55.203619909502265,-10.552868139134794
model_xgb_014,48.23008849557522,48.14785763310128,48.760330578512395,51.75438596491229,50.212765957446805,47.61904761904761,44.642857142857146,46.08294930875576,-26.91159509745805
model_xgb_015,60.17699115044248,60.17387218045113,60.909090909090914,58.77192982456141,59.82142857142857,59.48275862068966,61.60714285714286,60.526315789473685,2.100314695287955
model_xgb_016,50.88495575221239,50.88399412628488,51.32743362831859,50.877192982456144,51.10132158590308,50.442477876106196,50.89285714285714,50.66666666666667,-12.544564231268874
model_xgb_017,57.07964601769911,57.07880567792463,57.65765765765766,56.14035087719298,56.888888888888886,56.52173913043478,58.03571428571429,57.268722466960355,-0.5995344748063416
model_xgb_018,57.07964601769911,57.07880567792463,57.65765765765766,56.14035087719298,56.888888888888886,56.52173913043478,58.03571428571429,57.268722466960355,2.001395932975254
model_xgb_019,47.34513274336283,47.33585289913251,47.82608695652174,48.24561403508772,48.03493449781659,46.846846846846844,46.42857142857143,46.63677130044843,-31.492274702812562
model_xgb_020,50.88495575221239,50.87629976305637,51.37614678899083,49.122807017543856,50.224215246636774,50.427350427350426,52.67857142857143,51.52838427947598,-18.660282731622782
model_xgb_021,49.557522123893804,49.49423665019995,50.0,52.63157894736842,51.28205128205128,49.056603773584904,46.42857142857143,47.706422018348626,-18.03877607521173
model_xgb_022,50.88495575221239,50.87629976305637,51.30434782608696,51.75438596491229,51.52838427947598,50.45045045045045,50.0,50.224215246636774,-23.135220008729597
model_xgb_023,51.76991150442478,51.72359731122739,52.10084033613446,54.385964912280706,53.21888412017167,51.4018691588785,49.107142857142854,50.2283105022831,-11.27617576433521
model_xgb_024,50.442477876106196,50.380302673880664,50.83333333333333,53.50877192982456,52.13675213675214,50.0,47.32142857142857,48.62385321100918,-6.616165487570777
model_xgb_025,55.309734513274336,55.28784940549647,55.55555555555556,57.01754385964912,56.27705627705628,55.04587155963303,53.57142857142857,54.29864253393665,-10.59603381869398
model_xgb_026,55.75221238938053,55.73834704269487,56.03448275862068,57.01754385964912,56.52173913043478,55.45454545454545,54.46428571428571,54.95495495495496,-4.288484018257952
model_xgb_027,51.76991150442478,51.556508229926656,51.96850393700787,57.89473684210527,54.77178423236515,51.515151515151516,45.535714285714285,48.34123222748815,-16.92315378855353
