nama_juri,accuracy,f1_macro,prec_long,rec_long,f1_long,prec_short,rec_short,f1_short,roi_audisi
model_xgb_001,49.11504424778761,49.03421904108246,50.0,52.17391304347826,51.06382978723404,48.113207547169814,45.94594594594595,47.004608294930875,7.921627321794995
model_xgb_002,52.654867256637175,52.385452970248295,53.125,59.130434782608695,55.96707818930041,52.04081632653062,45.94594594594595,48.803827751196174,30.79834714308354
model_xgb_003,49.557522123893804,48.52553344521697,50.349650349650354,62.60869565217392,55.81395348837209,48.19277108433735,36.03603603603604,41.23711340206185,26.18008224613277
model_xgb_004,48.23008849557522,48.058223819906885,48.97959183673469,41.73913043478261,45.07042253521127,47.65625,54.95495495495496,51.04602510460251,-14.062039183934463
model_xgb_005,54.86725663716814,53.82211538461539,54.48275862068965,68.69565217391305,60.76923076923077,55.55555555555556,40.54054054054054,46.875,16.363941459416697
model_xgb_006,47.34513274336283,47.294569541615225,48.30508474576271,49.56521739130435,48.927038626609445,46.2962962962963,45.04504504504504,45.662100456621005,-8.112997365466878
model_xgb_007,49.557522123893804,49.41490614937564,50.40650406504065,53.91304347826087,52.10084033613446,48.54368932038835,45.04504504504504,46.728971962616825,2.413823012264243
model_xgb_008,51.76991150442478,51.65538219998037,52.459016393442624,55.65217391304348,54.008438818565395,50.96153846153846,47.74774774774775,49.30232558139535,-5.944225773647213
model_xgb_009,49.557522123893804,49.49423665019995,50.42016806722689,52.17391304347826,51.28205128205128,48.598130841121495,46.846846846846844,47.706422018348626,41.565222099164565
model_xgb_010,47.78761061946903,47.28810879190386,48.31460674157304,37.391304347826086,42.15686274509804,47.44525547445255,58.55855855855856,52.41935483870967,3.1234344980682636
model_xgb_011,53.53982300884957,53.466026080988335,54.166666666666664,56.52173913043478,55.319148936170215,52.83018867924528,50.45045045045045,51.61290322580645,44.21951241868669
model_xgb_012,53.09734513274337,51.732753062540304,53.02013422818792,68.69565217391305,59.84848484848485,53.246753246753244,36.93693693693694,43.61702127659575,42.394374483359364
model_xgb_013,54.424778761061944,54.38101397299469,55.08474576271186,56.52173913043478,55.793991416309005,53.70370370370371,52.25225225225225,52.96803652968036,91.57651899471023
model_xgb_014,53.09734513274337,52.46825396825396,53.284671532846716,63.47826086956522,57.936507936507944,52.80898876404494,42.34234234234234,47.0,57.133733390202245
model_xgb_015,48.67256637168141,48.267424421817026,49.61832061068702,56.52173913043478,52.84552845528455,47.368421052631575,40.54054054054054,43.689320388349515,-0.8950545015344459
model_xgb_016,53.09734513274337,51.580564314010836,52.980132450331126,69.56521739130434,60.150375939849624,53.333333333333336,36.03603603603604,43.01075268817204,15.05906611306275
model_xgb_017,45.57522123893805,45.18781425613724,46.92307692307692,53.04347826086957,49.795918367346935,43.75,37.83783783783784,40.57971014492754,3.8325745259111956
model_xgb_018,52.654867256637175,51.86224743704588,52.85714285714286,64.34782608695652,58.03921568627452,52.32558139534884,40.54054054054054,45.68527918781726,17.254694489493772
model_xgb_019,47.34513274336283,45.72898799313894,48.66666666666667,63.47826086956522,55.094339622641506,44.73684210526316,30.630630630630627,36.36363636363637,-4.874928852582934
model_xgb_020,52.21238938053098,49.08635794743429,52.09580838323353,75.65217391304347,61.702127659574465,52.54237288135594,27.927927927927925,36.470588235294116,31.109805728386707
model_xgb_021,48.23008849557522,47.23735408560311,49.29577464788733,60.86956521739131,54.474708171206224,46.42857142857143,35.13513513513514,40.0,-1.5788131683031792
model_xgb_022,48.67256637168141,45.564784053156146,49.696969696969695,71.30434782608695,58.57142857142858,45.90163934426229,25.225225225225223,32.55813953488372,21.581061796676202
model_xgb_023,50.88495575221239,49.21348314606742,51.31578947368421,67.82608695652173,58.42696629213483,50.0,33.33333333333333,40.0,21.69746133697072
model_xgb_024,52.21238938053098,51.46743020758768,52.51798561151079,63.47826086956522,57.48031496062992,51.724137931034484,40.54054054054054,45.45454545454545,31.654554590513364
model_xgb_025,49.557522123893804,48.24427480916031,50.34013605442177,64.34782608695652,56.48854961832062,48.10126582278481,34.234234234234236,40.0,31.515782113734847
model_xgb_026,50.88495575221239,50.66763682130144,51.587301587301596,56.52173913043478,53.941908713692946,50.0,45.04504504504504,47.39336492890995,7.286781488379098
model_xgb_027,53.09734513274337,52.861078315623764,53.54330708661418,59.130434782608695,56.19834710743802,52.52525252525253,46.846846846846844,49.523809523809526,33.8821929897791
model_xgb_028,53.09734513274337,51.580564314010836,52.980132450331126,69.56521739130434,60.150375939849624,53.333333333333336,36.03603603603604,43.01075268817204,22.457047120352513
model_xgb_029,50.442477876106196,50.126103404791934,51.162790697674424,57.391304347826086,54.09836065573771,49.48453608247423,43.24324324324324,46.15384615384615,15.59023357940389
model_xgb_030,46.902654867256636,45.357833655705996,48.322147651006716,62.60869565217392,54.54545454545454,44.15584415584416,30.630630630630627,36.17021276595745,-4.083795231333227
model_xgb_031,46.017699115044245,43.890923890923894,47.74193548387097,64.34782608695652,54.81481481481482,42.25352112676056,27.027027027027028,32.967032967032964,10.785252016298932
model_xgb_032,54.424778761061944,53.66178958893202,54.285714285714285,66.08695652173913,59.6078431372549,54.65116279069767,42.34234234234234,47.71573604060914,41.966546062700786
model_xgb_033,46.902654867256636,46.48354250532797,48.091603053435115,54.78260869565217,51.21951219512195,45.26315789473684,38.73873873873874,41.74757281553398,2.448274274993969
model_xgb_034,50.88495575221239,49.94313079916193,51.40845070422535,63.47826086956522,56.809338521400775,50.0,37.83783783783784,43.07692307692308,22.380476905321302
model_xgb_035,50.0,49.71547837044913,50.78125,56.52173913043478,53.49794238683128,48.97959183673469,43.24324324324324,45.933014354066984,11.020018485086643
model_xgb_036,50.0,48.77133858899521,50.68493150684932,64.34782608695652,56.70498084291188,48.75,35.13513513513514,40.83769633507853,-14.39360179969168
model_xgb_037,55.309734513274336,54.21155042025235,54.794520547945204,69.56521739130434,61.30268199233716,56.25,40.54054054054054,47.12041884816754,36.92999573363306
model_xgb_038,48.67256637168141,47.75191326530612,49.645390070921984,60.86956521739131,54.6875,47.05882352941176,36.03603603603604,40.816326530612244,24.898103074045093
model_xgb_039,53.98230088495575,51.993464052287585,53.503184713375795,73.04347826086956,61.76470588235294,55.072463768115945,34.234234234234236,42.22222222222222,36.952122078426854
model_xgb_040,53.53982300884957,52.11381293512258,53.333333333333336,69.56521739130434,60.37735849056604,53.94736842105263,36.93693693693694,43.85026737967914,22.35566644344042
model_xgb_041,52.21238938053098,51.83518825479517,52.67175572519084,60.0,56.09756097560976,51.578947368421055,44.14414414414414,47.57281553398058,50.98619129188601
model_xgb_042,53.09734513274337,52.25605867346938,53.191489361702125,65.21739130434783,58.59375,52.94117647058824,40.54054054054054,45.91836734693878,47.35512638243765
model_xgb_043,53.09734513274337,51.580564314010836,52.980132450331126,69.56521739130434,60.150375939849624,53.333333333333336,36.03603603603604,43.01075268817204,47.32409933301954
model_xgb_044,50.88495575221239,49.04016088731794,51.298701298701296,68.69565217391305,58.7360594795539,50.0,32.432432432432435,39.34426229508197,20.822139549818715
model_xgb_045,48.67256637168141,48.571876961707474,49.586776859504134,52.17391304347826,50.847457627118644,47.61904761904761,45.04504504504504,46.2962962962963,6.788628470936965
model_xgb_046,49.557522123893804,48.52553344521697,50.349650349650354,62.60869565217392,55.81395348837209,48.19277108433735,36.03603603603604,41.23711340206185,30.621433210016356
model_xgb_047,48.23008849557522,48.14785763310128,49.166666666666664,51.30434782608696,50.212765957446805,47.16981132075472,45.04504504504504,46.08294930875576,31.926714883106616
model_xgb_048,48.23008849557522,47.86157941437445,49.23076923076923,55.65217391304348,52.244897959183675,46.875,40.54054054054054,43.47826086956522,13.350617543778117
model_xgb_049,46.46017699115044,44.039945157263595,48.10126582278481,66.08695652173913,55.67765567765568,42.64705882352941,26.126126126126124,32.402234636871505,-0.9196520778442392
