tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_xgb_030,model_xgb_021,model_xgb_013,model_xgb_029,model_xgb_008,model_xgb_026,model_xgb_024,model_xgb_002,model_xgb_050,model_xgb_009,model_xgb_047,model_xgb_003,model_xgb_014,model_xgb_044,model_xgb_011,model_xgb_039,model_xgb_041,model_xgb_005,model_xgb_019,model_xgb_015,model_xgb_042,model_xgb_028,model_xgb_043,model_xgb_037,model_xgb_048,model_xgb_027,model_xgb_018,model_xgb_017,model_xgb_006,model_xgb_025,model_xgb_046,model_xgb_038,model_xgb_045,model_xgb_031,model_xgb_049,model_xgb_007,model_xgb_034,model_xgb_010,model_xgb_012,model_xgb_040,model_xgb_033,model_xgb_016,model_xgb_035,model_xgb_036,model_xgb_022,model_xgb_001,model_xgb_032,model_xgb_020,model_xgb_004,model_xgb_023
2025-06-17,1,-1.0105003924392646,0.9510715690611612,0.32048660451346,0.52135867,0.48339885,0.54248244,0.6148351,0.45671868,0.45777777,0.43385342,0.48730892,0.5676174,0.58483773,0.53485286,0.5997986,0.56716007,0.60633653,0.54579496,0.5509812,0.5464839,0.560212,0.5674696,0.56398606,0.45187327,0.5402005,0.41883615,0.55352306,0.53789043,0.57267976,0.62174,0.506114,0.54800385,0.49543685,0.49342513,0.68985397,0.5249863,0.55677956,0.7092134,0.5438506,0.48947993,0.50245893,0.5122946,0.47329122,0.5496014,0.53829557,0.5076374,0.5387392,0.5237295,0.46109706,0.589831,0.52161497,0.54248244,0.45701474
2025-06-18,0,-0.9170911057722232,0.3230550950515953,-0.21779540173212003,0.55722094,0.5181115,0.4322021,0.36429277,0.44454092,0.4906196,0.42944065,0.49853268,0.53654736,0.49690512,0.51586336,0.42958996,0.42894083,0.50778735,0.5609958,0.52146214,0.50800765,0.46301958,0.5657871,0.51642364,0.3814603,0.49559352,0.5219782,0.43539357,0.5206897,0.40264267,0.47882965,0.42068425,0.54800385,0.51944995,0.51227266,0.57842976,0.5459394,0.48273647,0.64396006,0.33495742,0.52999544,0.50245893,0.45524457,0.5345062,0.5228086,0.54781675,0.438329,0.4951388,0.5237295,0.5511383,0.45709872,0.52161497,0.43427658,0.5536983
2025-06-19,0,-2.235406972213293,1.7672885109242638,-1.30856106109857,0.4006689,0.47294125,0.5246806,0.63948536,0.4906196,0.4417925,0.54585934,0.47098187,0.45679495,0.49333557,0.53485286,0.598271,0.53798467,0.5855228,0.4626421,0.5668215,0.5392584,0.446234,0.50772685,0.54017496,0.51654977,0.5402005,0.6783494,0.5487732,0.5206897,0.3547431,0.49485555,0.57346195,0.50947386,0.61259806,0.47364718,0.5352804,0.5623284,0.44971564,0.6435819,0.46297085,0.52999544,0.50245893,0.56263703,0.43892103,0.55765814,0.44307464,0.5076374,0.5480207,0.5237295,0.5682278,0.5951022,0.52161497,0.43427658,0.56565577
2025-06-20,0,-2.4103641013186543,0.6606044084598361,-1.14692277493546,0.52785015,0.56070936,0.5629836,0.52155644,0.56417835,0.5535241,0.53804725,0.55455995,0.53654736,0.5704199,0.55881095,0.60184336,0.5663236,0.40528584,0.5117659,0.5542496,0.52509683,0.5586425,0.5077957,0.51642364,0.50356853,0.51189804,0.665588,0.43777993,0.5206897,0.54932004,0.43637928,0.508159,0.4920452,0.5920106,0.44821072,0.5302865,0.44794574,0.55548054,0.6322879,0.6274277,0.5489212,0.44066185,0.52509683,0.50947386,0.4850804,0.56606174,0.5076374,0.56903183,0.5237295,0.5119733,0.4960162,0.54248244,0.47339165,0.43663976
2025-06-21,0,-3.9142474936869007,1.2452596721930649,-1.13859602263607,0.4874104,0.4417925,0.54825395,0.71260923,0.45777777,0.53883106,0.52509683,0.45065406,0.49717405,0.48341492,0.44307464,0.49345663,0.56025445,0.5048669,0.5151226,0.43338084,0.48006645,0.5586425,0.46565038,0.51642364,0.40953386,0.49488094,0.4527848,0.47004995,0.5206897,0.46802622,0.52477527,0.6464176,0.5077957,0.59861493,0.5312925,0.6533469,0.5604359,0.65107125,0.49469486,0.42621195,0.52271426,0.50611967,0.5122946,0.47339165,0.5146506,0.53829557,0.5076374,0.55881095,0.5237295,0.5077957,0.4539468,0.540662,0.44946337,0.43663976
2025-06-22,1,-1.3466739094160756,4.937611915541193,4.23728593887924,0.5926619,0.49107835,0.5043615,0.6003869,0.501068,0.44158447,0.5647236,0.43923414,0.52557766,0.4755038,0.4359492,0.43880633,0.56025445,0.50915533,0.45163363,0.43338084,0.4443077,0.5586425,0.49912405,0.51642364,0.405782,0.46398097,0.50346226,0.4522284,0.5206897,0.6123556,0.45804366,0.48193982,0.51219517,0.5051456,0.45054907,0.35829476,0.52509683,0.5518539,0.41767,0.5925993,0.52271426,0.4348826,0.5503039,0.56747746,0.4850804,0.44331688,0.5076374,0.46109706,0.5237295,0.4859648,0.4387249,0.46824107,0.446234,0.43513286
2025-06-23,1,-0.6781543731945114,0.9035618085769545,0.70862171209309,0.49195004,0.5663236,0.5459394,0.3814599,0.501068,0.5119733,0.43385342,0.48547253,0.56372064,0.59211886,0.4359492,0.49116275,0.56025445,0.4343202,0.5548611,0.43539357,0.4533579,0.46109706,0.54233426,0.5563524,0.4683951,0.49488094,0.3997463,0.5459394,0.5645403,0.5888231,0.43659452,0.539792,0.51219517,0.44318244,0.56993455,0.48127207,0.561146,0.51568806,0.4952058,0.6414073,0.52999544,0.5630086,0.4709616,0.47329122,0.4850804,0.56215096,0.5076374,0.4417925,0.5237295,0.51747274,0.5158556,0.52805215,0.5077957,0.5663236
2025-06-24,1,-0.2595392115949321,1.9161414250041848,1.1784963544526401,0.49028406,0.48339885,0.44539827,0.5386399,0.45830047,0.5536983,0.5615502,0.47199094,0.539208,0.58741564,0.5255343,0.49116275,0.43427658,0.5286786,0.54579496,0.5509812,0.5464839,0.560212,0.42984024,0.53277963,0.44324395,0.53789043,0.5818958,0.5102767,0.45113534,0.4701873,0.5128198,0.4697171,0.54800385,0.49372685,0.49342513,0.59430265,0.54233426,0.46882328,0.69333124,0.4274681,0.5548611,0.50245893,0.5122946,0.47329122,0.5438595,0.47458118,0.5076374,0.5387392,0.5237295,0.4317507,0.58270013,0.56395125,0.50611967,0.53537875
2025-06-25,0,-0.7275102647342373,0.8643965555256529,-0.36728244556723,0.4874104,0.5181115,0.45054907,0.50766516,0.51319075,0.45777777,0.43385342,0.49735594,0.53804725,0.5397876,0.53485286,0.42589498,0.5146506,0.49066022,0.4906196,0.49912405,0.4508429,0.5358018,0.44101554,0.51642364,0.49349555,0.49559352,0.5774521,0.55352306,0.5206897,0.4836526,0.56991315,0.40618432,0.54800385,0.55909806,0.49342513,0.59789217,0.5604359,0.5805572,0.561039,0.5769466,0.4826817,0.50245893,0.5122946,0.47329122,0.5228086,0.55765814,0.438329,0.5634131,0.5237295,0.53090215,0.589831,0.5077957,0.45113534,0.5536983
2025-06-26,1,-0.553484233859804,0.734371837348212,0.09395562683026999,0.5054002,0.5181115,0.5246806,0.35518253,0.5207823,0.4306923,0.52509683,0.6050973,0.433985,0.5253726,0.53485286,0.50437504,0.44158447,0.5717834,0.4472015,0.5509812,0.50800765,0.43561018,0.56767076,0.51642364,0.5090817,0.5119733,0.6134632,0.45679495,0.5206897,0.5287217,0.57840437,0.61810684,0.50947386,0.47073653,0.47364718,0.3822101,0.49994838,0.6397552,0.675568,0.38855302,0.52999544,0.50245893,0.5122946,0.47329122,0.50611967,0.44331688,0.5315174,0.5387392,0.49173474,0.53165704,0.5302796,0.52161497,0.45113534,0.5663236
